NAME,POVINN,VPLATIOD,VPLATIDO,PGARANT,PVYUCOVAN,VSEMZAC,VSEMPOC,VRVCEM,VTYP,VEBODY,PPOCMIN,PPOCMAX,LANG,VYJAZYK,GUARANTORS,A,C,E,L,P,S,V,TEACHERS,FACULTY_NAME,LECTURE_RANGE_WINTER,SEMINAR_RANGE_WINTER,LECTURE_RANGE_SUMMER,SEMINAR_RANGE_SUMMER
Povinně vol. předměty obor DS Mgr. R3,N#IN338,2011,9999,32-KTIML,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinně vol. předměty obor SS+SA Mgr. R5,N#IN340,2015,9999,32-KTIML,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty obor SS Mgr. R10,N#IN932,2017,9999,32-KDSS,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
PVP3 MZU+FIL,N#MA021,2014,9999,,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinně volitelné předměty PVP5b,N#MC013,2014,9999,,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty učitelství M-DG 2.s. Bc.,N#MD121,2004,9999,32-KDM,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povin. výběrové předm. M-DG Mgr.,N#MD303,2003,9999,32-KDM,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty učitelství M-I 1.s. Bc.,N#MI111,2004,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Blok B oboru Finanční a pojistná matematika,N#MM014,2006,9999,32-STUD,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Blok B oboru Matematické a poč. modelování,N#MM015,2001,9999,32-STUD,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povin. bakal. předměty k Finanční a pojistná matem.,N#MM300,2006,9999,32-KPMS,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Předměty KMA R1,N#MM307,2007,9999,32-KMA,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povin. vol. předm. Matematické struktury,N#MM334,2011,9999,,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povin. předměty oboru Matematické a poč. modelování,N#MM613,2013,9999,32-MUUK,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povin. vol. předm. Matematické struktury,N#MM734,2018,9999,,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Skupina STR,N#MP129,2019,9999,32-KMA,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
"jeden z EKN011, EKN012, MAT059, OPT32",N#MS012,2001,9999,,Zrušen,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Ekonometrie,N#MS054,2008,9999,32-KPMS,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
"Předměty NMNV501 a NMNV534, místo nichž je nově NMNV503",N#NV503,2021,9999,32-KNM,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty odborná fyzika 1.s. Bc.,N#OF111,2004,9999,32-KVOF,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Výběrově povinné předměty odborná fyzika Bc.,N#OF300,2005,9999,32-KVOF,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty obecná matematika 2.s. Bc.,N#OM121,2007,9999,32-KMA,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty obecná matematika před SZZ Bc.,N#OM130,2005,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty obecná matematika před SZZ Bc.82 b.,N#OM302,2004,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné pedagogické předměty učitelství Mgr.,N#PE303,2006,9999,32-KDF,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Profilující předměty správa poč. systémů Bc.,N#PS110,2004,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Učitelství informatika I. ročník,N#RC015,2001,9999,,Zrušen,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinně volitelné předměty PRG v SPS Bc. R4,N#SS338,2011,9999,32-KSVI,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Tělesná výchova Bc. R4,N#TV017,2013,9999,,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
UDeskriptivní geometrie-povinné př. k SZZ,N#UD002,2001,9999,32-STUD,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
UFY028 a UFY029,N#UF001,1348,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
UZákladní školy-Matematika výběrové př.,N#UZ006,2001,9999,32-STUD,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
UPedagogické předměty pro ZŠ,N#UZ007,2005,9999,32-STUD,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty informační bezp. před SZZ Bc.,N#XF760,2019,9999,32-KA,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Informatika zaměřená na vzdělávání POV Bc.,N#XF910,2019,9999,,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty obor SS Mgr.,N#XI304,2019,9999,32-KSI,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty obor SS Mgr.,N#XI927,2019,9999,32-KDSS,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty obor SDI Mgr.,N#XI928,2019,9999,32-KSI,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povin. vol. předměty oboru Num. a výpočt. matematika,N#XL371,2019,9999,32-KNM,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Profilující předměty programování Bc.,N#XP110,2019,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
informatika 1r. bak. - R,N#XR024,2019,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinně volitelné předměty SDI Bc. R9,N#XS649,2019,9999,32-KSVI,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
"NXXX007, NXXX008, NXXX009, NXXX051, NXXX052, NXXX053",N#XX019,2022,9999,,Zrušen,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
"NXXX010, NXXX019, NXXX020, NXXX021, NXXX026, NXXX027, NXXX028, NXXX029, NXXX032, NXXX034, NXXX035, NXXX068",N#XX025,2022,9999,,Zrušen,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
"NXXX014, NXXX016, NXXX017, NXXX022, NXXX023, NXXX024, NXXX025, NXXX030, NXXX031",N#XX035,2022,9999,,Zrušen,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty MFM Bc. před SZZ,N$FM100,2003,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Předměty programu Informatika Mgr.,N$IN300,2005,9999,32-KTIML,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Praktická fyzika I - mechanika a kontinuum,NAFY004,2023,9999,32-KVOF,Nevyučován,1,1,HT,KZ,4,,Neomezená,cs,Čeština,"[{""KOD"": ""11408"", ""PRIJMENI"": ""Valentov\u00e1"", ""JMENO"": ""Helena"", ""TITULPRED"": ""doc. RNDr."", ""TITULZA"": ""Ph.D.""}, {""KOD"": ""11513"", ""PRIJMENI"": ""Pie\u0161ov\u00e1"", ""JMENO"": ""Jaroslava"", ""TITULPRED"": ""RNDr."", ""TITULZA"": ""Ph.D.""}]","{""TITLE"":""anotace"",""MEMO"":""Praktick\u00e9 \u00falohy k p\u0159edn\u00e1\u0161ce Mechanika a kontinuum. \r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""Podm\u00ednkou ud\u011blen\u00ed klasifikovan\u00e9ho z\u00e1po\u010dtu je zm\u011b\u0159en\u00ed p\u0159edepsan\u00e9ho po\u010dtu \u00faloh a vypracov\u00e1n\u00ed refer\u00e1t\u016f. Term\u00edny m\u011b\u0159en\u00ed a odevzd\u00e1n\u00ed jsou uvedeny na webov\u00fdch str\u00e1nk\u00e1ch fyzik\u00e1ln\u00edho praktika http:\/\/physics.mff.cuni.cz\/vyuka\/zfp\/ v \u0159\u00e1du fyzik\u00e1ln\u00edho praktika a v p\u0159ehledu pro zimn\u00ed semestr. Hodnocen\u00ed protokol\u016f a celkov\u00e9 pr\u00e1ce v praktiku je podrobn\u011b pops\u00e1no na str\u00e1nce http:\/\/physics.mff.cuni.cz\/vyuka\/zfp\/hodnoceni.\r\nPovaha kontroly studia p\u0159edm\u011btu vylu\u010duje opravn\u00e9 term\u00edny z\u00e1po\u010dtu.\r\n""}","{""TITLE"":""literatura"",""MEMO"":""https:\/\/physics.mff.cuni.cz\/vyuka\/zfp\/""}",,"{""TITLE"":""sylabus"",""MEMO"":""Z\u00e1kladn\u00ed m\u011b\u0159en\u00ed - m\u011b\u0159en\u00ed prostoru, m\u011b\u0159en\u00ed \u010dasu, v\u00e1\u017een\u00ed na analytick\u00fdch vah\u00e1ch, m\u011b\u0159en\u00ed hustoty l\u00e1tek, m\u011b\u0159en\u00ed t\u00edhov\u00e9ho zrychlen\u00ed. \r\nStudium ot\u00e1\u010den\u00ed tuh\u00e9ho t\u011blesa, m\u011b\u0159en\u00ed momentu setrva\u010dnosti kola. \r\nMechanick\u00e9 vlastnosti pevn\u00fdch l\u00e1tek - m\u011b\u0159en\u00ed modulu pru\u017enosti v tahu, dynamick\u00e1 zkou\u0161ka deformace l\u00e1tek v tlaku. \r\nMechanika kapalin a plyn\u016f - studium proud\u011bn\u00ed tekutin, voln\u00fd p\u00e1d koule ve viskosn\u00ed kapalin\u011b, m\u011b\u0159en\u00ed viskozity, m\u011b\u0159en\u00ed povrchov\u00e9ho nap\u011bt\u00ed, studium reologick\u00e9ho chov\u00e1n\u00ed l\u00e1tek. \r\nKmity a vln\u011bn\u00ed - kmity harmonick\u00e9ho oscil\u00e1toru, v\u00e1zan\u00e9 kmity, tlumen\u00e9 a nucen\u00e9 kmity, studium mechanick\u00e9 rezonance. \r\nAkustika - rychlost \u0161\u00ed\u0159en\u00ed zvuku. \r\n""}",,null,Matematicko-fyzikální fakulta,0,3,,
Práce s počítačem a programování,NAFY008,2021,9999,32-KFKL,Nevyučován,1,1,HT,KZ,5,,Neomezená,cs,Čeština,"[{""KOD"": ""11337"", ""PRIJMENI"": ""Ku\u017eel"", ""JMENO"": ""Radom\u00edr"", ""TITULPRED"": ""prof. RNDr."", ""TITULZA"": ""CSc.""}, {""KOD"": ""31886"", ""PRIJMENI"": ""Bern\u00e1\u0161ek"", ""JMENO"": ""Karel"", ""TITULPRED"": ""Ing."", ""TITULZA"": ""Ph.D.""}]","{""TITLE"":""anotace"",""MEMO"":""Textov\u00e9 procesory - LaTeX, Word apod. - efektivn\u00ed pr\u00e1ce s textov\u00fdmi procesory. Tvorba typick\u00e9ho v\u011bdeck\u00e9ho \r\nmini\u010dl\u00e1nku \r\n\u010di zpr\u00e1vy - z\u00e1sady a techniky psan\u00ed  - hlavi\u010dky, abstrakty, \u010dlen\u011bn\u00ed, form\u00e1tov\u00e1n\u00ed. Matematick\u00e9 v\u00fdrazy, obr\u00e1zky, \r\ntabulky a \r\njejich \u010d\u00edslov\u00e1n\u00ed. Odkazy na literaturu. Pr\u00e1ce s bibliografick\u00fdmi datab\u00e1zemi. \r\nTabulkov\u00e9 v\u00fdpo\u010dty -  efektivn\u00ed pr\u00e1ce s tabulkov\u00fdm procesorem. \u0158e\u0161en\u00ed matematick\u00fdch probl\u00e9m\u016f\r\nSpeci\u00e1ln\u00ed programy pro v\u011bdeck\u00e9 v\u00fdpo\u010dty a grafy.  Pr\u00e1ce s obr\u00e1zky a fotografiemi .\r\nZ\u00e1kladn\u00ed algoritmy programov\u00e1n\u00ed. Tvorba www.\r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""Vypracov\u00e1n\u00ed zadan\u00fdch \u00faloh v po\u010d\u00edta\u010dov\u00e9 laborato\u0159i v \u010dase cca 4 vyu\u010dovac\u00ed hodiny - kr\u00e1tk\u00fd program, zpracov\u00e1n\u00ed dat a vykreslen\u00ed do grafu, form\u00e1tov\u00e1n\u00ed zadan\u00e9ho textu kr\u00e1tk\u00e9ho \u010dl\u00e1nku v syst\u00e9mu LaTeX resp. Word apod., dle zad\u00e1n\u00ed.\r\nLze opakovat.""}",,,"{""TITLE"":""sylabus"",""MEMO"":""Tabulkov\u00e9 procesory (Excel, pokro\u010dilej\u0161\u00ed p\u0159\u00edklady, kreslen\u00ed kvalitn\u011bj\u0161\u00edch graf\u016f, numerick\u00e9 metody, alternativn\u00ed programy)\r\n\r\nPr\u00e1ce s obr\u00e1zky a fotografiemi, prezenta\u010dn\u00ed programy.\r\n\r\nPsan\u00ed odborn\u00fdch text\u016f, v\u011bdeck\u00fdch \u010dl\u00e1nk\u016f - jak a v \u010dem (Latex, Word a alternativy, pr\u00e1ce s referencemi, tvorba jednoduch\u00fdch www str\u00e1nek)\r\n\r\nKreslen\u00ed graf\u016f - komer\u010dn\u00ed programy (Origin), Gnuplot\r\n\r\nLinux\r\n\r\nKr\u00e1tk\u00fd \u00favod do programov\u00e1n\u00ed (Python, Matlab, makra v Excelu)\r\n\r\nSpeci\u00e1ln\u00ed matematick\u00e9 programy - p\u0159ehled (Matlab, Mathematica, Maple, Mathcad)""}",,null,Matematicko-fyzikální fakulta,2,1,,
Předpovědní a pozorovací metody,NAFY049,2021,9999,32-KFA,Nevyučován,2,1,HT,Z+Zk,3,,Neomezená,cs,Čeština,"[{""KOD"": ""12089"", ""PRIJMENI"": ""\u017d\u00e1k"", ""JMENO"": ""Michal"", ""TITULPRED"": ""doc. Mgr."", ""TITULZA"": ""Ph.D.""}]","{""TITLE"":""anotace"",""MEMO"":""P\u0159edm\u011bt je ur\u010den\u00fd zejm\u00e9na pro z\u00e1jemce o t\u00e9ma meteorologie a v\u00fdzkumu atmosf\u00e9ry, kte\u0159\u00ed nepl\u00e1nuj\u00ed dal\u0161\u00ed studium \r\nsouvisej\u00edc\u00edho magistersk\u00e9ho programu (pro ten je doporu\u010den speci\u00e1ln\u00ed blok vybran\u00fdch povinn\u011b voliteln\u00fdch \r\np\u0159edm\u011bt\u016f).\r\nPoslucha\u010di se sezn\u00e1m\u00ed s principy pozorovac\u00edch metod pou\u017e\u00edvan\u00fdch v meteorologii v\u010detn\u011b mo\u017enost\u00ed vyu\u017eit\u00ed metod \r\nd\u00e1lkov\u00e9ho pr\u016fzkumu zem\u011b a d\u00e1le s metodami anal\u00fdzy pol\u00ed meteorologick\u00fdch veli\u010din a s pom\u016fckami pro popis \r\nvertik\u00e1ln\u00ed struktury atmosf\u00e9ry.\r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""Vy\u017eaduje se aktivn\u00ed \u00fa\u010dast na cvi\u010den\u00ed (\u00fa\u010dast alespo\u0148 75 %) a ov\u011b\u0159en\u00ed z\u00edskan\u00fdch znalost\u00ed formou z\u00e1v\u011bre\u010dn\u00e9ho testu - \u00fastn\u00ed formou.""}",,,"{""TITLE"":""sylabus"",""MEMO"":""Z\u00e1klady p\u0159\u00edstrojov\u00e9 a m\u011b\u0159\u00edc\u00ed techniky a pozorovac\u00edch metod. Metody p\u0159edpov\u011bd\u00ed po\u010das\u00ed a z\u00e1klady numerick\u00fdch p\u0159edpov\u011bdn\u00edch metod. Z\u00e1kladn\u00ed principy anal\u00fdzy pol\u00ed meteorologick\u00fdch prvk\u016f, atmosf\u00e9rick\u00fdch front a speci\u00e1ln\u00edch pov\u011btrnostn\u00edch charakteristik. Pr\u00e1ce s aerologick\u00fdmi diagramy a s vertik\u00e1ln\u00edmi \u0159ezy atmosf\u00e9ry. Vyu\u017eit\u00ed dru\u017eicov\u00fdch a radarov\u00fdch dat pro \u00fa\u010dely nowcastingu a p\u0159edpov\u011bdi po\u010das\u00ed.\r\n""}",,null,Matematicko-fyzikální fakulta,,,1,1
Předpovědní a pozorovací metody,NAFY108,2021,9999,32-KFA,Vyučován,2,1,HT,Z+Zk,3,,Neomezená,cs,Čeština,"[{""KOD"": ""12089"", ""PRIJMENI"": ""\u017d\u00e1k"", ""JMENO"": ""Michal"", ""TITULPRED"": ""doc. Mgr."", ""TITULZA"": ""Ph.D.""}]","{""TITLE"":""anotace"",""MEMO"":""P\u0159edm\u011bt je ur\u010den\u00fd zejm\u00e9na pro z\u00e1jemce o t\u00e9ma meteorologie a v\u00fdzkumu atmosf\u00e9ry, kte\u0159\u00ed nepl\u00e1nuj\u00ed dal\u0161\u00ed studium \r\nsouvisej\u00edc\u00edho magistersk\u00e9ho programu (pro ten je doporu\u010den speci\u00e1ln\u00ed blok vybran\u00fdch povinn\u011b voliteln\u00fdch \r\np\u0159edm\u011bt\u016f).\r\nPoslucha\u010di se sezn\u00e1m\u00ed s principy pozorovac\u00edch metod pou\u017e\u00edvan\u00fdch v meteorologii v\u010detn\u011b mo\u017enost\u00ed vyu\u017eit\u00ed metod \r\nd\u00e1lkov\u00e9ho pr\u016fzkumu zem\u011b a d\u00e1le s metodami anal\u00fdzy pol\u00ed meteorologick\u00fdch veli\u010din a s pom\u016fckami pro popis \r\nvertik\u00e1ln\u00ed struktury atmosf\u00e9ry.\r\n""}",,"{""TITLE"":""podm\u00ednky zakon\u010den\u00ed p\u0159edm\u011btu"",""MEMO"":""Vy\u017eaduje se aktivn\u00ed \u00fa\u010dast na cvi\u010den\u00ed (\u00fa\u010dast alespo\u0148 75 %) a ov\u011b\u0159en\u00ed z\u00edskan\u00fdch znalost\u00ed formou z\u00e1v\u011bre\u010dn\u00e9ho testu - \u00fastn\u00ed formou.""}",,,"{""TITLE"":""sylabus"",""MEMO"":""Z\u00e1klady p\u0159\u00edstrojov\u00e9 a m\u011b\u0159\u00edc\u00ed techniky a pozorovac\u00edch metod. Metody p\u0159edpov\u011bd\u00ed po\u010das\u00ed a z\u00e1klady numerick\u00fdch p\u0159edpov\u011bdn\u00edch metod. Z\u00e1kladn\u00ed principy anal\u00fdzy pol\u00ed meteorologick\u00fdch prvk\u016f, atmosf\u00e9rick\u00fdch front a speci\u00e1ln\u00edch pov\u011btrnostn\u00edch charakteristik. Pr\u00e1ce s aerologick\u00fdmi diagramy a s vertik\u00e1ln\u00edmi \u0159ezy atmosf\u00e9ry. Vyu\u017eit\u00ed dru\u017eicov\u00fdch a radarov\u00fdch dat pro \u00fa\u010dely nowcastingu a p\u0159edpov\u011bdi po\u010das\u00ed.\r\n""}",,"[{""KOD"": ""12089"", ""PRIJMENI"": ""\u017d\u00e1k"", ""JMENO"": ""Michal"", ""TITULPRED"": ""doc. Mgr."", ""TITULZA"": ""Ph.D.""}]",Matematicko-fyzikální fakulta,,,1,1
Univerzální algebra a teorie modelu,NAIL048,2001,9999,32-KTIML,Zrušen,1,2,HT,-K,6,,Neomezená,cs,,null,"{""TITLE"":""anotace"",""MEMO"":""Kardin\u00e1ln\u00ed aritmetika v teorii mno\u017ein, \u00favod do teorie model\u016f, \u00favod do\r\nuniverz\u00e1ln\u00ed algebry.\r\n""}",,,,,,,null,Matematicko-fyzikální fakulta,2,0,2,0
Nestandardní metody v matematice,NAIL049,1348,9999,32-KTIML,Zrušen,2,1,HT,Z+Zk,6,,Neomezená,cs,,null,"{""TITLE"":""anotace"",""MEMO"":""Z\u00e1kladn\u00ed kurs nestandardn\u00edch metod v matematice t.j. pou\u017eit\u00ed nekone\u010dn\u011b\r\nmal\u00fdch a nekone\u010dn\u011b velk\u00fdch veli\u010din v ma\u017etematice a v\u010detn\u011b jejich\r\nzobecn\u011bn\u00ed vhodn\u00fdch pro modern\u011bj\u0161\u00ed partie (na p\u0159. topologie a funkcion\u00e1ln\u00ed\r\nanal\u00fdza).\r\n""}",,,"{""TITLE"":""literatura"",""MEMO"":""Martin Davis: Applied Nonstandard Analysis; John Wiley and Sons, New York. London. Sydney. Toronto 1977 \r\n\r\nK.D.Stroyan, W.A.J.Luxemburg: Introduction to the Theory of Infinitesimals; Academic Press, New York, London 1976 \r\n""}",,"{""TITLE"":""sylabus"",""MEMO"":""Z\u00e1kladn\u00ed teorie pro nestandardn\u00ed pr\u00e1ci. \r\n\r\nNestandardn\u00ed p\u0159irozen\u00e1 \u010d\u00edsla jsou nekone\u010dn\u011b velk\u00e1. \r\n\r\nStandardn\u00ed mno\u017einy kone\u010dn\u00e9, pr\u00e1v\u011b kdy\u017e nemaj\u00ed nestandardn\u00ed prvky. \r\n\r\nVztahy nestandardn\u00edch a standardn\u00edch pojm\u016f. Z\u00e1kladn\u00ed p\u0159ekladov\u00fd algoritmus. \r\n\r\nP\u0159\u00edklady netrivi\u00e1ln\u011b p\u0159elo\u017eiteln\u00fdch nestandardn\u011b definovan\u00fdch pojm\u016f. \r\n\r\nStandardn\u00ed \u010d\u00e1st. \r\n\r\nP\u0159\u00edklady jednoduch\u00fdch nestandardn\u00edch d\u016fkaz\u016f. \r\n\r\nZobecn\u011bn\u00e9 nekone\u010dn\u011b velk\u00e9, konkuren\u010dn\u00ed relace. \r\n\r\nPou\u017eit\u00ed zobecn\u011bn\u00fdch nekone\u010dn\u011b velk\u00fdch v matematick\u00fdch d\u016fkazech. \r\n\r\nNestandardn\u00ed pohled na ultrafiltry a ultraprodukt. \r\n\r\nV\u011bta Robinson Bernstein a jej\u00ed d\u016fkaz jako p\u0159\u00edklad n\u00e1ro\u010dn\u011bj\u0161\u00edho pou\u017eit\u00ed nestandardn\u00edch metod. \r\n""}",,null,Matematicko-fyzikální fakulta,,,2,2
