"POVINN","TYP","JAZYK","VPLATIOD","VPLATIDO","MEMO"
NAIL068,L,ENG,"2017","9999","Bratman, M. (1999). Intention, plans, and practical reason. Center for the Study of Language and Information.
Brooks, A. R.: Intelligence without reason. In: Proceedings of the 1991 International Joint Conference on Artificial Intelligence, Sydney (1991) 569-595
Bryson, J.: Hierarchy and sequence vs. full parallelism in reactive action selection architecture. In: From Animals to Animats (SAB00). MA. MIT Press, Cambridge (2000) 147-156
Černý, M., Plch, T., Marko, M., Ondráček, P., & Brom, C. (2014). Smart Areas: A Modular Approach to Simulation of Daily Life in an Open World Video Game. 6th International Conference on Agents and Artificial Intelligence (ICAART 2014), 703–708.
Edelstein-Keshet, L: Mathematical Models in Biology. SIAM (2005) (Ch. 4.1, 4.2, 6.1 - 6.3)
Fu, D., & Houlette, R. (2004). The Ultimate Guide to FSMs in Games. In S. Rabin (Ed.), AI Game Programming Wisdom (First, Vol. 2, pp. 283–302). Massachusetts, USA: Charles River Media.
Grand, S., Cliff, D., Malhotra, A.: Creatures: Artificial life autonomous software-agents for home entertainment. In: Lewis Johnson, W. (eds.): Proceedings of the First International Conference on Autonomou Agents. ACM press (1997) 22-29
Hindriks KV, (2009). Programming Rational Agents in GOAL, Multi-Agent Programming: Languages and Tools and Applications, Springer US, pages:119-157, isbn: 978-0-387-89298-6
Huber, M. J.: JAM: A BDI-theoretic mobile agent architecture. In: Proceedings of the Third International Conference on Autonomous Agents (Agents'99). Seatle (1999) 236-243
Champandard, A. J. (2008). Behavior Trees for Next-Gen Game AI [Video]. Retrieved from http://aigamedev.com/insider/presentations/behavior-trees [17.5.2017]
Kokko, H.: Modelling for Field Biologists and Other Interesting People. Cambridge University Press (2007)
Laird, J. E., Newell, A., Rosenbloom, P.S.: SOAR: An Architecture for General Intelligence. In: Artificial Intelligence, 33(1) (1987) 1-64
Mateas, M.: Interactive Drama, Art and Artificial Intelligence. Ph.D. Dissertation. Department Computer Science, Carnegie Mellon University (2002) viz též: https://eis-blog.soe.ucsc.edu/2012/02/getting-started-with-abl/
Orkin, J. (2006). Three States and a Plan: The AI of F.E.A.R. In Proceedings of the Game Developers Conference (GDC).
Rao, A. S., & Georgeff, M. P. (1995). BDI Agents: From Theory to Practice. Proceedings of the First International Conference on Multi-Agent Systems (ICMAS-95), San Francisco, USA, 1995, 312--319. 
Rabin, S. (ed.): AI Game Programming Wisdom I - IV, Charles River Media (2002 - 8)
Steve Rabin (ed.). Game AI Pro : collected wisdom of game AI professionals, 2013 (Ch. 6)
Tyrrell, T.: Computational Mechanisms for Action Selection. Ph.D. Dissertation. Centre for Cognitive Science, University of Edinburgh (1993)"
NAIL068,P,CZE,"2018","9999","Schopnost prakticky aplikovat znalost látky prezentované na přednáškách, které byly demonstrovány v rámci cvičení na praktických přííkladech."
NAIL068,P,ENG,"2018","9999","Demonstrate an ability to apply techniques presented during lectures and demonstrated during practical lessons."
NAIL068,S,CZE,"2017","9999","Témata přednášek:
1. Typy umělých bytostí a aplikace: výukové simulátory, počítačové hry, seriózní hry, virtual storytelling, interaktivní drama, výpočetní etologie.
2. Řízení umělých bytostí symbolickými metodami: reaktivní plánování a deliberativní přístup; rozhodovací pravidla, konečné automaty, behaviorální stromy, subsumption architektura, BDI architektura, vícevrstvé architektury.
3. Řízení umělých bytostí konekcionistickými metodami: Tyrrellova volná hierarchie, Creatures, Black&White, problémy učení.
4. Lehký úvod do etologie. Lorenzův hydraulický model. Modely populační dynamiky.
5. Hledání cesty: steering rules, A*, HPA*.
6. Representace světa: afordance, smart objects, nav-mesh, way-points, dokonalost smyslů.
7. Paměť: klasifikace z hlediska psychologie, modely krátkodobé paměti a episodické paměti.
8. Unified theories of cognition: SOAR, ACT-R.

Cvičení probíhá ve dvou rozdílných virtuálních prostředích počítačových her: Unreal Tournament 2004 (UT2004) a NOTA.

Témata cvičení v UT2004:
1. Opakování programovacího jazyka Java (základní syntax jazyka, kolekce, listy, sety, mapy, iteratory, lazy inicializace, observer pattern a jeho problémy, slabé reference), základy Maven.
2. Úvod do platformy Pogamut a světa UT2004
3. Události a objekty virtuálního světa v Pogamutu, listenery, anotace.
4. BOD metodologie pro návrh chování virtuálních agentů, if-then pravidla, konečné automaty, rozklad chování
5. Steeringy a nízkoúrovňový pohyb botů.
6. Navigace v UT2004.
7. Viditelnost v UT2004, netriviální použítí A*.

Témata cvičení v NOTA:
1. Úvod do skriptovacího jazyka Lua
2. Stromy chování
3. Vzory rozhodování v stromech chování
4. Řízení skupin pomocí stromů chování"
NAIL072,A,CZE,"2004","9999","Cílem přednášky je seznámit studenty se základními principy rozpoznávání vzorů. Obsahem přednášky je popis a analýza 
různých metod používaných v oblasti rozpoznávání vzorů. Předmět bude vyučován jednou za dva roky.
"
NAIL072,L,CZE,"2004","9999","Richard O. Duda, Peter E. Hart, David G. Stork - Pattern Classification, Second Edition, A Wiley-Interscience Publication, 2000
Sergios Theodoridis, Konstantinos Koutroumbas - Pattern Recognition, Second Edition, Elsevier Academic Press, 2003
Evangelia Micheli-Tzanakou - Supervised and Unsupervisd Pattern Recognition, Feature Extraction and Computational Intellingence, CRC Press, 2000
"
NAIL110,C,CZE,"2019","9999","TBA
"
NAIL110,C,ENG,"2019","9999","TBA
"
NAIL110,E,CZE,"2019","9999","TBA
"
NAIL110,E,ENG,"2019","9999","TBA
"
NAIL120,C,CZE,"2018","9999","Cílem předmětu je poskytnout studentům přehled základních metod a konceptů umělé inteligence a ukázat studentům, jak se představené techniky prakticky používají.
"
NAIL120,C,ENG,"2018","9999","The aim of the course is to give students an overview of fundamental methods and concepts of artificial intelligence and to make students familiar with practical usage of them.

"
NAIL120,E,CZE,"2019","9999","Podmínkou pro zakončení předmětu je získání zápočtu a složení zkoušky. Zápočet je udělen za vypracování úkolů na cvičení. Povaha kontroly získání zápočtu vylučuje možnost jejího opakování. Zkouška je ústní s časem na písemnou přípravu; ve výjimečných případech může být zkouška distanční. Požadavky odpovídají sylabu předmětu v rozsahu, který byl přednesen na přednášce. Součástí zkoušky může být i návrh algoritmu aplikovaného na konkrétní problém.

"
NAIL120,E,ENG,"2019","9999","In order to pass the course, the student must obtain the credit for the seminar and pass an exam. The credit is given for solving assignments from the seminar. The nature of study verification excludes the possibility of its repetition. The exam is oral with time for written preparation. In exceptional cases, the exam can be on-line. The requirements correspond to the syllabus in the extent presented during the lectures. A part of the exam may be the design of an algorithm for a given problem.
"
NAIL120,L,CZE,"2022","9999","- S. Russell, P. Norvig: Artificial Intelligence; A Modern Approach, 2010
- V. Mařík, O. Štepánková, J. Lažanský a kol.: Umělá Inteligence, 1-6. Academia, Praha
"
NAIL120,L,ENG,"2022","9999","- S. Russell, P. Norvig: Artificial Intelligence; A Modern Approach, 2010
"
NAIL120,P,ENG,"2019","9999","The exam is oral with time for written preparation. The requirements correspond to the syllabus in the extent presented during the lectures. A part of the exam may be the design of an algorithm for a given problem."
NAIL120,S,CZE,"2022","9999","- 1. Zavedení pojmů, historie
- 2. Řešení úloh prohledáváním (A* a spol.)
- 3. Splňování podmínek
- 4. Logické uvažování (dopředné a zpětné řetězení, rezoluce, SAT)
- 5. Pravděpodobnostní uvažování (Bayesovské sítě)
- 6. Reprezentace znalostí (situační kalkulus, Markovské modely)
- 7. Automatické plánování
- 8. Markovské rozhodovací procesy
- 9. Hry a teorie her
- 10. Strojové učení (rozhodovací stromy, regrese, zpětnovazební učení)
- 11. Filozofické a etické aspekty
"
NAIL120,S,ENG,"2022","9999","- 1. Basic terminology, history, background 
- 2. Problem solving via search (A* and others)
- 3. Constraint satisfaction
- 4. Logical reasoning (forward and backward chaining, resolution, SAT)
- 5. Probabilistic reasoning (Bayesian networks)
- 6. Knowledge representation (situation calculus, Markovian models)
- 7. Automated planning
- 8. Markov decision processes
- 9. Games and theory of games
- 10. Machine learning (decision trees, regression, reinforcement learning)
- 11. Philosophical and ethical aspects
"
NAIX052,L,ENG,"2019","9999","Conference Proceedings
- AAAI Conference on Artificial Intelligence
- International Joint Conference on Artificial Intelligence
- European Conference on Artificial Intelligence

Journals
- Artificial Intelligence
- Journal of Artificial Intelligence Research"
NAFY008,A,ENG,"2009","9999","Common text processors - LaTeX, Word etc. - efficiet work. Writing of typical scientific article or report - 
guideline for writing and techniques  - headers, abstracts, structuring, formatting. Mathematical relations, figures, 
tables and their numbering. References and work with biblograhic databases. 
Spreadsheets and solution of mathematical problems, graphs. Special programs for scientific calculations and 
graphs. Work with pictures and photos. Basics of programming,  Algorithms. Web pages.
"
NAFY008,E,CZE,"2017","9999","Vypracování zadaných úloh v počítačové laboratoři v čase cca 4 vyučovací hodiny - krátký program, zpracování dat a vykreslení do grafu, formátování zadaného textu krátkého článku v systému LaTeX resp. Word apod., dle zadání.
Lze opakovat."
NAFY049,A,CZE,"2021","9999","Předmět je určený zejména pro zájemce o téma meteorologie a výzkumu atmosféry, kteří neplánují další studium 
souvisejícího magisterského programu (pro ten je doporučen speciální blok vybraných povinně volitelných 
předmětů).
Posluchači se seznámí s principy pozorovacích metod používaných v meteorologii včetně možností využití metod 
dálkového průzkumu země a dále s metodami analýzy polí meteorologických veličin a s pomůckami pro popis 
vertikální struktury atmosféry.
"
NAFY049,A,ENG,"2009","9999","Students will gain knowledge about principles of observation methods used in meteorology including possibilities 
of distant methods and further with methods for meteorological characteristics analysis and with tools for vertical 
structure of atmosphere description.
"
NAFY049,S,CZE,"2009","9999","Základy přístrojové a měřící techniky a pozorovacích metod. Metody předpovědí počasí a základy numerických předpovědních metod. Základní principy analýzy polí meteorologických prvků, atmosférických front a speciálních povětrnostních charakteristik. Práce s aerologickými diagramy a s vertikálními řezy atmosféry. Využití družicových a radarových dat pro účely nowcastingu a předpovědi počasí.
"
NAFY049,S,ENG,"2009","9999","Fundamentals of instrumental and measurement techniques and observation methods. Methods of weather forecasts and basics of numerical forecast methods. Basic principles of analysis of meteorological fields, atmospheric fronts and special weather features. Aeorological diagrams and vertical cross-sections of atmosphere. Using of satellite and radar data for nowcasting and weather forecasts.
"
NAFY049,E,CZE,"2017","9999","Vyžaduje se aktivní účast na cvičení (účast alespoň 75 %) a ověření získaných znalostí formou závěrečného testu - ústní formou."
NAIL049,S,CZE,"1348","9999","Základní teorie pro nestandardní práci. 

Nestandardní přirozená čísla jsou nekonečně velká. 

Standardní množiny konečné, právě když nemají nestandardní prvky. 

Vztahy nestandardních a standardních pojmů. Základní překladový algoritmus. 

Příklady netriviálně přeložitelných nestandardně definovaných pojmů. 

Standardní část. 

Příklady jednoduchých nestandardních důkazů. 

Zobecněné nekonečně velké, konkurenční relace. 

Použití zobecněných nekonečně velkých v matematických důkazech. 

Nestandardní pohled na ultrafiltry a ultraprodukt. 

Věta Robinson Bernstein a její důkaz jako příklad náročnějšího použití nestandardních metod. 
"
NAIL068,A,CZE,"2004","9999","Umělé bytosti jsou autonomní inteligentní agenti, kteří jsou situovaní v prostředí podobném přirozenému světu a 
kteří se chovají podobně jako lidé nebo zvířata. Přednáška podává přehled typů umělých bytostí a jejich architektur 
a blíže se zabývá způsobem jejich řízení a praktickým řešením problémů spojených s částečně pozorovatelným 
dynamickým prostředím, které je simulované v reálném čase.
"
NAIL068,C,CZE,"2017","9999","Zprostředkovat studentovi přehled o umělých bytostech jako vtělených inteligentních agentech, jejichž rozhodování probíhá v mezích omezené racionality."
NAIL068,M,CZE,"2017","9999","Frontální výuka při přednáškách, řešení praktických úloh při cvičeních."
NAIL068,M,ENG,"2017","9999","Frontal teaching during lectures, solving practical problems during labs."
NAIL068,R,CZE,"2017","9999","NAIL087 - Informatika a kognitivní vědy I
NAIL088 - Informatika a kognitivní vědy II
NAIL069 - Umělá inteligence I"
NAIL068,E,ENG,"2018","9999","To complete the course, the student has to receive a credit from labs by solving assignments and then pass the practical examination."
NAIL068,R,ENG,"2017","9999","NAIL087 - Computers and Cognitive Sciences I
NAIL088 - Computers and Cognitive Sciences II
NAIL069 - Artificial Intelligence I"
NAIL068,S,ENG,"2017","9999","Lecture topics:
1. Taxonomy of artificial beings and their applications: learning simulations, video games, serious games, virtual storytelling, interactive drama, computational ethology.
2. Symbolic approaches to action selection: reactive planning, deliberative methods; if-then rules, finite-state machnies, behavioral trees, subsumption, Belief-Desire-Intention architecture, multi-layered architetures.
3. Connectionist approaches to action selection: free-flow hierarchies (Tyrrell), neural networks (Creatures, Black&White), approaches to agent learning.
4. Introduction to ethology: Psychohydraulic model of Konrad Lorenz, models of population dynamics.
5. Path-planning: steering rules, A*, HPA*.
6. Environment representation: affordances, smart objects, nav-mesh, way-points, sensory versimilitude.
7. Memory: psychological classification, short-term memory & episodic memory for the agents.
8. Unified theories of cognition: SOAR, ACT-R

Practical lessons are carried out in virtual environments of two different video games: Unreal Tournament 2004 (UT2004) and NOTA.

Practical lesson topics in UT2004:
1. Revisiting Java (sytax, collections, lists, sets, maps, iterators, lazy initialization, observer pattern and its problems, weak references), Maven basics
2. Introduction to the Pogamut platform and virtual environment of UT2004
3. Events and objects in Pogamut, listeners, annotations.
4. BOD methodology for the behavior design of virtual agents; if-then rules, finite state machines, behavior breakdown
5. Steerings and low-level movement of bots
6. Navigation in UT2004
7. Visibility in UT2004, non-trivial use of A*

Practical lesson topics in NOTA:
1. Introduction to Lua scripting language
2. Behavior trees
3. Behavior patterns in behavior trees
4. Controlling groups of bots using behavior trees"
NAIL072,A,ENG,"2004","9999","This lecture is focused on principal concepts of pattern recognition. The contents of the lecture is the description and analysis of various methods applicable to pattern recognition."
NAIL072,S,CZE,"2013","9999","Úvod do rozpoznávání vzorů:
Příznaky, příznakové vektory, klasifikátory. Systémy pro rozpoznávání vzorů, návrh systému, učení a adaptace. Rozpoznávání vzorů s učitelem a bez učitele.

Rozpoznávání vzorů s učitelem:
Klasifikátory založené na Bayesovské rozhodovací teorii. Pravidlo nejbližšího souseda. Lineární a nelineární klasifikátory - perceptronový algoritmus, podpůrné vektorové stroje, vícevrstevné perceptrony, stochastické metody. Rozhodovací stromy. Rozpoznávání v řetězcích. Template matching. 

Rozpoznávání vzorů bez učitele
Základní principy klastrování. Míry podobnosti. Kriteriální funkce pro klastrování. Iterativní optimalizace. Sekvenční klastrování. Hierarchické klastrování. Klastrování založené na teorii grafů. Algoritmy kompetičního učení. Klastrování pomocí optimalizace ceny. Cluster validity.

Přednáška volně navazuje na předmět PGR002 Digitální zpracování obrazu (J. Flusser).
"
NAIL072,S,ENG,"2013","9999","Introduction to pattern recognition:
Features, feature vectors, classifiers. Pattern recognition systems, the design cycle, learning and adaptation. Supervised versus unsupervised pattern recognition.   

Supervised pattern recogniton:
Classifiers based on Bayes decision theory. The nearest-neighbor rule. Linear and nonlinear classifiers - the perception algorithm, support vector machine, the multilayer perceptions, stochastic methods. Decisions trees. Recognition with strings. Template matching.	

Unsupervised pattern recognition: 
Basic concept of clustering. Proximity measures. Criterion functions for clustering. Iterative optimization. Sequential clustering. Hierarchical clustering. Clustering based on graph theory. Competitive learning algorithms. Clustering via cost optimization. Cluster validity.
"
NAIL110,A,CZE,"2015","9999","Kurs se soustřeďuje na získávání praktických dovedností s reálnými roboty a senzory.
Cílem je atraktivní formou zprostředkovat studentům praktické dovednosti v oblasti 
návrhu a realizace SW inteligentního řízení mobilního robotu ve složité úloze, tj. 
od řešení problémů návrhu architektury řízení robotu, zpracování senzorických dat, 
přes navigaci a vytváření interního modelu prostředí až po plánování a inteligentní
rozhodování. 
Studenti budou řešit komplexní úlohu v simulátoru a na reálném hardware mobilního 
robotu (UGV, UAV nebo dle individuální dohody).
"
