"STUDY_PROGRAMME_ID","NAME_CS","NAME_EN","FACULTY_ID","P_TYPE","P_FORM","GRADUATE_PROFILE_CS","GRADUATE_PROFILE_EN","JAZYK"
N0541A170016,Matematické struktury,Mathematical Structures,"11320",N,D,"Absolvent má pokročilé znalosti algebry, geometrie, kombinatoriky a matematické logiky, které mu v rámci studovaného zvoleného užšího zaměření umožnily být v tvůrčím kontaktu s aktuálními vědeckými výsledky. Abstraktní povaha, hloubka a náročnost studia u absolventa podpořily rozvoj schopnosti analyzovat, strukturovat a řešit problémy složité a abstraktní povahy. Vedle akademické sféry nalezne uplatnění v nejrůznějších oblastech lidské činnosti na místech, kde je potřeba zvládat a využívat nové poznatky a rozsáhlé systémy.","A graduate of the program has advanced knowledge of algebra, geometry, combinatorics and mathematical logic. These enable him or her to understand and to contribute to recent research. The abstract nature of the field, the depth and the difficulty of the study, lead to a development of the graduate's ability to analyse, structure and solve various problems of complex and abstract nature. Besides academia the graduate will function well in various positions where it is required to understand and to be able to use new advances and large systems.",CS
N0114A300066,Učitelství matematiky pro střední školy se sdruženým studiem Učitelství německého jazyka a literatury pro střední školy,Teacher Education of Mathematics for Upper Secondary Schools with double curriculum study Teacher Education of German Language and Literature for Upper Secondary Schools,"11320",N,D,"Absolvent získal ucelené znalosti a dovednosti z matematiky a její didaktiky, z pedagogiky, psychologie a má praktické zkušenosti s výukou ve škole. Je plně kvalifikován pro práci učitele matematiky.
Absolvent má osvojeny systematické znalosti a dovednosti potřebné pro profesi učitele v oboru německý jazyk a literatura.","The graduate acquired comprehensive knowledge and skills in mathematics and its didactics, pedagogy, and psychology and has practical experience in teaching at school. He is fully qualified to work as a mathematics teacher.
The graduate has systematic knowledge and skills needed for a teaching career in German Language and Literature.",CS
B0114A170004,Matematika se zaměřením na vzdělávání,Mathematics for Teacher Education,"11320",B,D,,,CS
B0114A170004,Matematika se zaměřením na vzdělávání se sdruženým studiem Tělesná výchova a sport se zaměřením na vzdělávání,Mathematics for Teacher Education with double curriculum study Physical Education and Sport for Teacher Education																						,"11320",B,D,"
","
",CS
N0114A110003,Učitelství fyziky pro střední školy,Teacher Education of Physics for Upper Secondary Schools,"11320",N,D,,,CS
P0111D110002,Didaktika fyziky a obecné otázky fyziky,Physics Education and General Problems of Physics,"11320",D,D,"Absolvent má hlubší znalosti z fyziky, didaktiky fyziky a pedagogicko-psychologických disciplín, resp. filozofie či historie fyziky a je připraven k samostatné vědecké práci v různých oblastech didaktiky fyziky nebo filozofie a historie fyziky. Při specializaci na didaktiku fyziky je absolvent schopen řešit problémy související s fyzikálním vzděláváním na základních a středních školách, navrhovat, realizovat a vyhodnocovat výzkum v oblasti vzdělávání ve fyzice. Absolventi se uplatní na katedrách připravujících učitele fyziky pro základní a střední školy, na vědeckých pracovištích, v pedagogických institucích, na řídicích místech v oblasti školství a jako velmi kvalitní učitelé základních, středních a vyšších odborných škol.
","The graduate has deeper knowledge in physics, physics education, pedagogical-psychological disciplines or philosophy and history of physics and is prepared to independent research work in various branches of physics education or philosophy and history of physic. Graduate specialized in physics education is able to solve problems connected with physic education on secondary school level and to plan, conduct and evaluate research in the field of physics education. The graduates will find employment at university departments providing pre-service physics teacher training, in scientific and pedagogical institutions, in management positions in school system and as a highly qualified teacher at junior and senior secondary schools and at colleges.
",CS
B0613A140006,Informatika se specializací Obecná informatika,Computer Science with specialisation in General Computer Science,"11320",B,D,"Absolvent má důkladné matematické základy, široký přehled různých oblastí informatiky s důrazem na pochopení fundamentálních principů a rozsáhlou škálu praktických programátorských dovedností. Zná různé algoritmy a datové struktury, ovládá programátorské postupy a umí je aplikovat při analýze složitých problémů a jejich řešení realizovat v různých programovacích jazycích. Absolvent je dobře připraven na navazující magisterské studium informatiky na naší fakultě i jinde. Disponuje navíc již po ukončení bakalářského studia dostatečnými znalostmi a dovednostmi pro uplatnění v praxi. Zde může působit na jakékoliv pozici vyžadující logické myšlení nebo může zastávat místo programátora.","The graduate has solid mathematical foundations, broad understanding of different areas of computer science with an emphasis on understanding fundamental principles, and an extensive spectrum of practical programming skills. He/she knows various algorithms and data structures and programming methods and is capable of applying them to analyze complex problems and to write solutions to such problems in various programming languages. A graduate is well prepared for continuing in a master level program at our faculty or elsewhere. Moreover, he/she possesses sufficient knowledge and skills for practical employment at any position requiring logical thinking and programming skills.",CS
B0613A140006,Informatika se specializací Programování a vývoj software,Computer Science with specialisation in Programming and Software Development,"11320",B,D,"Absolvent studia je specialistou v oblasti analýzy, návrhu a všech fází vývoje software. Bude platným a ceněným členem jak malých vývojových týmů, tak i velkých mezinárodních společností. Má hluboké znalosti softwarových, hardwarových a síťových architektur a technologií a dokáže je aplikovat v rozsáhlých systémech. Absolvent má dobrý přehled o zásadních teoriích, metodách a postupech informatiky a matematiky a jejich aplikacích, je schopen rychle vstřebávat nové poznatky a technologie. To mu poskytuje výborné předpoklady pro absolvování navazujícího magisterského studia informatiky.","The graduate is a specialist in software analysis, design, and all phases of its development. He/she will become a valuable member of software development teams, both small teams and large international teams. He/she has deep knowledge of software, hardware, and network architectures and technologies and is capable of applying it to complex systems. A graduate has a good understanding of principal theories, methods, and processes in computer science and mathematics and its applications. He/she is able to rapidly digest new findings and technologies. All of this gives him/her an excellent qualification for a successful study of computer science on a master level.",CS
B0613A140006,Informatika se specializací Systémové programování,Computer Science with specialisation in Systems Programming,"11320",B,D,"Absolvent má dobré povědomí o fungování hardware, operačních systémů a moderních softwarových platforem. Orientuje se v problematice distribuovaných a paralelních systémů a je schopen efektivně pracovat v prostředí rychlého rozvoje nových technologií. Navrhuje a implementuje algoritmická řešení problémů a zohledňuje vliv velikosti problému na efektivitu řešení a nároky na výpočetní prostředky. Má hlubší znalost moderních programovacích jazyků a při návrhu a vývoji softwarových systémů používá moderní nástroje a postupy. V neposlední řadě rovněž disponuje znalostmi potřebnými pro úspěšné pokračování v navazujícím magisterském studiu informatiky.","The graduate has a good understanding of how hardware, operating systems, and modern software platforms function. He/she is well oriented in distributed and parallel systems, and is capable of an efficient work in the environment of rapidly developing new technologies. He/she designs and implements algorithmic solutions of problems while considering the impact of the problem size on the efficiency of the solution and the demands on computational resources. He/she has deep knowledge of modern programming languages and uses modern tools and methods when designing and developing software systems. Last but not least, he/she possesses knowledge needed for a successful study of computer science on a master level.",CS
B0613A140006,Informatika se specializací Umělá inteligence,Computer Science with specialisation in Artificial Intelligence,"11320",B,D,"Absolvent specializace získal obecný přehled o teoriích, metodách a postupech informatiky včetně znalostí programovacích postupů a konkrétních programovacích jazyků. Absolvent má znalosti matematiky, teoretické informatiky, počítačových a komunikačních systémů, algoritmů a datových struktur, programování, analýzy a zpracování dat a principů umělé inteligence a dále znalosti technik návrhu a analýzy algoritmů s ohledem na výpočetní složitost a praktickou řešitelnost úloh. Absolvent může pracovat v oblastech zabývajících si automatizací procesů, zpracováním velkých dat, zpracováním přirozeného jazyka a robotikou. Připraven je na pokračování v navazujícím magisterského studiu všech informatických oborů.
","The graduate has gained a general understanding of theories, methods, and processes of computer science, including knowledge of programming methods and programming languages. A graduate has knowledge of mathematics, theoretical computer science, computer and communication systems, programming, data analysis and processing, and principles of artificial intelligence, as well as knowledge of techniques for algorithm design and analysis that respect computational complexity and practical solvability of given tasks. A graduate can work in areas of process automation, big data processing, natural language processing, and robotics. He/she is prepared for a study of computer science on a master level.",CS
B0613A140006,"Informatika se specializací Počítačová grafika, vidění a vývoj her","Computer Science with specialisation in Computer Graphics, Vision and Game Development","11320",B,D,"V rámci specializace si student zvolil jedno z možných zaměření fotorealistická grafika, počítačové vidění, vývoj počítačových her. Fotorealistická grafika: Absolvent se uplatní při návrhu a vývoji vizuálních efektů a fotorealistického renderingu v postprodukčních týmech, architektonické vizualizaci, vývoji realistických herních enginů a shaderů. Počítačové vidění: Absolvent se uplatní všude tam, kde se využívá digitální zpracování obrazu a počítačové vidění. Vývoj počítačových her: Absolvent se uplatní jako vývojář počítačových her na mnoha úrovních - programátor herního engine, GPU programátor, nástroje pro přípravu obsahu hry a logiky hry, programování herní AI, příprava dat hry.","The graduate has chosen one of the following sub-specializations: photo-realistic graphics, computer vision, computer game development. Photo-realistic graphics: A graduate can work on visual effects design and development, on photo-realistic rendering in post-production teams, on architectural visualizations, and on realistic game engine and shader development. Computer vision: A graduate can work in all those positions where digital image processing and computer vision is used. Computer game development: A graduate can work as a computer game developer on many levels – game engine programmer, GPU programmer, developer of tools for game content, logic, and data preparation, game AI programmer.
",CS
N0533A110016,Fyzika kondenzovaných soustav a materiálů,Physics of Condensed Matter and Materials,"11320",N,D,"Absolventi mají široké znalosti základů kvantové teorie, termodynamiky a statistické fyziky kondenzovaných soustav a příslušných výpočetních metod. Dovedou popsat strukturu těchto látek v různých formách, jejich mechanické, elektrické, magnetické i optické vlastnosti. Mají přehled o řadě experimentálních metod charakterizace struktury, složení i vlastností kondenzovaných látek, jako jsou metody difrakční, spektroskopické i mikroskopické, a dovedou je prakticky používat. Vhodným uplatněním jsou zejména pracoviště základního fyzikálního, chemického a biomedicínského výzkumu, vysoké školy uvedeného zaměření, laboratoře aplikovaného materiálového výzkumu a vývoje, zkušební laboratoře a pracoviště v hygienické a ekologické službě.
","Graduates acquire a broad education in the fundamentals of quantum theory, thermodynamics and statistical physics of condensed systems and the corresponding computing methods. They are able to describe the structure of the systems in different forms, their mechanical, electrical, magnetic and optical properties. They have a general knowledge of experimental methods of characterizing the structure, composition and properties of condensed compounds through for example diffraction, spectroscopic and microscopic techniques, and they are able to apply them in practice. They are able to
find suitable positions in institutions of basic physical, chemical and biomedical research, universities, applied research laboratories, testing laboratories, and in hygiene and ecology institutions.
",CS
N0533A110023,Optika a optoelektronika,Optics and Optoelectronics,"11320",N,D,"Absolvent má hluboké teoretické i experimentální znalosti z klasické i kvantové optiky a optoelektroniky. Zvládá matematické modelování fyzikálních procesů v optice a optoelektronice. Získané znalosti a dovednosti je schopen uplatnit ve výzkumné a vědecké činnosti v optických oborech i v řadě oblastí, kde se optika nebo optická spektroskopie využívá (biologie, chemie, medicína). Fyzikální vzdělání spojené se získáním dovedností v oblasti počítačového programování, informačních technologií i organizace týmové vědecké práce zvyšuje možnosti uplatnění na vysokých školách a vědeckých ústavech i v průmyslu. Absolventi jsou zcela připraveni k dalšímu doktorskému studiu.","Graduates have a sound theoretical and experimental knowledge of classical and quantum optics and optoelectronics. They have mastered the mathematical modelling of physical processes in optics and optoelectronics. They can apply the knowledge and competences they have gained in research and scientific activities in optical disciplines as well as in a large number of fields where optics or optical spectroscopy are used (biology, chemistry, medicine). Their education in physics combined with a mastery of computer programming, information technologies and organization of scientific team collaboration enhances the chances of these graduates finding employment in research at universities and research institutes and in industry. Graduates are fully qualified to continue with their studies in postgraduate programmes.",CS
N0688A140012,Informatika - Diskrétní modely a algoritmy,Computer Science - Discrete Models and Algorithms,"11320",N,D,"Absolvent je seznámen s diskrétními (nespojitými) přístupy a technikami a diskrétními strukturami v informatice a v algoritmickém modelování jevů a procesů z praxe. Podle zvoleného zaměření má pokročilé znalosti v několika z disciplín: kombinatorika (teorie grafů), pravděpodobnostní techniky a metody, kombinatorická a výpočetní geometrie, algebraické a topologické metody, teorie čísel, lineární a nelineární programování, diskrétní optimalizace. Je připraven na navazující doktorské studium, umí být v kontaktu s aktuálními výsledky v dané disciplíně a v ideálním případě k nim i sám tvůrčím způsobem přispívat. Nalezne uplatnění v akademické sféře i v oblastech lidské činnosti využívajících algoritmy a diskrétní modelování.","The graduate is familiar with discrete approaches and techniques and discrete structures in computer science and in algorithmic modelling of practical phenomena. Depending on profilation, he or she has good knowledge in several of the areas: combinatoric (graph theory), probabilistic techniques and methods, discrete and computational geometry, algebraic and topological methods, number theory, linear and nonlinear programming, discrete optimization. He or she is prepared for Ph.D. study and is in contact with the last results in the area and, ideally, make his or her own contribution. The graduate can work in academia or in practical areas applying algorithms and discrete modelling. ",CS
P0533D110022,Částicová a jaderná fyzika,Particle and Nuclear Physics,"11320",D,D,"Absolvent má dle zaměření hluboké vzdělání v moderní částicové nebo jaderné fyzice a je kvalifikovaným odborníkem v experimentální nebo teoretické větvi těchto oborů. Nachází uplatnění především v základním výzkumu v akademických institucích, částečně i v aplikovaném výzkumu. Absolventi mají zkušenosti s prací v mezinárodních vědeckých týmech nebo jsou připraveni se do nich začlenit. Typický absolvent daného oboru má značnou míru profesní adaptability zvláště díky získaným zkušenostem s týmovou prací a využitím výpočetní techniky a moderních technologií.","Depending on the chosen specialization, a graduate has a deep knowledge in modern particle or nuclear physics and is a qualified expert in the experimental or theoretical branches of these fields. He or she can find employment especially in basic research of academic institutions, partly in applied research. Graduates have experience of working in, or are ready to integrate in international scientific collaborations. A typical graduate of a given branch has a considerable degree of professional adaptability, especially thanks to the experience gained in team work and the use of modern technologies and tools.",CS
P0533D110022,Částicová a jaderná fyzika,Particle and Nuclear Physics,"11320",D,D,"Absolvent má dle zaměření hluboké vzdělání v moderní částicové nebo jaderné fyzice a je kvalifikovaným odborníkem v experimentální nebo teoretické větvi těchto oborů. Nachází uplatnění především v základním výzkumu v akademických institucích, částečně i v aplikovaném výzkumu. Absolventi mají zkušenosti s prací v mezinárodních vědeckých týmech nebo jsou připraveni se do nich začlenit. Typický absolvent daného oboru má značnou míru profesní adaptability zvláště díky získaným zkušenostem s týmovou prací a využitím výpočetní techniky a moderních technologií.","Depending on the chosen specialization, a graduate has a deep knowledge in modern particle or nuclear physics and is a qualified expert in the experimental or theoretical branches of these fields. He or she can find employment especially in basic research of academic institutions, partly in applied research. Graduates have experience of working in, or are ready to integrate in international scientific collaborations. A typical graduate of a given branch has a considerable degree of professional adaptability, especially thanks to the experience gained in team work and the use of modern technologies and tools.",CS
P0533D110022,Částicová a jaderná fyzika,Particle and Nuclear Physics,"11320",D,E,"Absolvent má dle zaměření hluboké vzdělání v moderní částicové nebo jaderné fyzice a je kvalifikovaným odborníkem v experimentální nebo teoretické větvi těchto oborů. Nachází uplatnění především v základním výzkumu v akademických institucích, částečně i v aplikovaném výzkumu. Absolventi mají zkušenosti s prací v mezinárodních vědeckých týmech nebo jsou připraveni se do nich začlenit. Typický absolvent daného oboru má značnou míru profesní adaptability zvláště díky získaným zkušenostem s týmovou prací a využitím výpočetní techniky a moderních technologií.","Depending on the chosen specialization, a graduate has a deep knowledge in modern particle or nuclear physics and is a qualified expert in the experimental or theoretical branches of these fields. He or she can find employment especially in basic research of academic institutions, partly in applied research. Graduates have experience of working in, or are ready to integrate in international scientific collaborations. A typical graduate of a given branch has a considerable degree of professional adaptability, especially thanks to the experience gained in team work and the use of modern technologies and tools.",CS
P0688D140010,Bioinformatika a výpočetní biologie,Bioinformatics and computational biology,"11320",D,D,"Absolvent má znalosti z klíčových oblastí informatiky, molekulární biologie a bioinformatiky. Tyto znalosti je schopen integrovat a systematicky aplikovat při analýze komplexních problémů zahrnujících různé modality, např. v oblasti biotechnologií či medicíny. Absolvent umí takové doménově specifické problémy abstrahovat a navrhovat jejich řešení. Absolvent má zkušenosti se zpracováním velkých souborů heterogenních dat a je schopen navrhovat inovativní přístupy pro analýzu takových souborů dat. Vzhledem k dynamickému vývoji v oboru je absolvent schopen flexibilně reagovat na nové poznatky a postupy a aplikovat je ve stávajících i nových řešeních.","The graduate understands of key areas of computer science, molecular biology, and bioinformatics. She/he can integrate and systematically apply them in the analysis of complex problems, e.g., in the field of biotechnology or medicine, involving various modalities. Subsequently, she/he can abstract these problems and propose solutions. The graduate has experience with processing and analysis of large heterogeneous data and is able to design innovative solutions over such data. Due to the dynamic nature of the field, the graduate is able to flexibly apply new knowledge and procedures in both existing and new solutions.",CS
B0541A170003,Matematika pro informační technologie,Mathematics for Information Technologies,"11320",B,D,"Absolvent pochopil základy stěžejních matematických oborů a vybraných oblastí matematiky, které nacházejí
uplatnění v informačních technologiích. Absolvent má rozvinuté analytické schopnosti, je schopen identifikovat
matematickou podstatu problémů z IT praxe a umí aplikovat matematickou teorii a další odborné znalosti k řešení
těchto problémů. Absolvent zvládá programovat jednoduché projekty a matematické výpočty. V rámci povinně
volitelné výuky se podrobněji seznámil se základy informační bezpečnosti, nebo se základy počítačové geometrie.","After graduation, he/she knows fundamentals of the essential mathematical subjects, and of selected areas
of mathematics which find applications in information technologies. He/she has developed analytical
skills, is able to identify mathematical foundation of problems from IT practice and can apply
mathematical theory and other knowledge to solve the problems. He/she has basic programming skills,
can develop simple projects and mathematical calculations. In elective subjects, he/she specialized in
information security, or computational geometry.",CS
P0533D110009,"Fyzika atmosféry, meteorologie a klimatologie","Atmospheric physics, meteorology and climatology","11320",D,D,"Absolvent získává komplexní vědeckou erudici pro studium atmosférických procesů v širším kontextu s dalšími procesy probíhajícími v klimatickém systému i přilehlé části vnějšího meziplanetárního prostoru. Oblast znalostí absolventů je charakterizována zejména tématy fyzika atmosféry, dynamická a synoptická meteorologie, modelování atmosférických procesů, klimatologie a změny klimatu, děje v mezní vrstvě atmosféry, turbulence a modelování proudění, chemismus atmosféry a kvalita ovzduší anebo charakteristiky vyšších vrstev atmosféry. Absolvent je připraven tvůrčím způsobem uplatňovat svoje znalosti a kompetence na akademických pracovištích, v resortním výzkumu i v různých aplikovaných odvětvích komerční sféry. ","The graduate acquires comprehensive scientific knowledge necessary for the study of atmospheric processes within a wider context of other processes occurring in the climate system and the adjacent interplanetary space. The scope of knowledge gained by the graduate includes, in particular, the following areas: atmospheric physics, dynamic and synoptic meteorology, modelling of atmospheric processes, climatology and climate changes, processes in the boundary layer of the atmosphere, turbulences and flow modelling, atmospheric chemistry and air quality or characteristics of the higher atmosphere. The graduate is prepared to creatively work with the acquired knowledge and competence in academic environments, within departmental research and in various applied fields of commerce.",CS
N0613A140015,Informatika - Softwarové a datové inženýrství,Computer Science - Software and Data Engineering,"11320",N,D,Absolvent má hluboké softwarově a datově inženýrské znalosti v rámci zvoleného zaměření. Absolvováním zaměření Softwarové inženýrství absolvent umí analyzovat požadavky na softwarová řešení a navrhovat jejich architekturu. Absolvent zaměření Vývoj software je schopen vykovávat roli vedoucího týmu vývojářů s přehledem o současných technologiích. Znalosti vývoje internetových aplikací intenzivně zpracovávajících data pokrývá zaměření Webové inženýrství. Se zaměřením Databázové systémy je absolvent připraven navrhovat schémata databází a implementovat databázové aplikace. Absolvent zaměření Analýza a zpracování rozsáhlých dat se uplatní jako vědecky orientovaný odborník na dobývání znalostí z dat a jejich interpretaci uživateli.,"The graduate gains a deep knowledge of software and data engineering based on her/his specialization. With the specialization Software Engineering the graduate is able to analyse requirements for software solutions, to design architectures, and to lead the development process. The specialization Software Development prepares the graduate for leading a team of SW developers. The development of internet applications is covered by the specialization Web Engineering. The graduate of Database Systems is able to design schemas of databases and to implement complex database applications. With the Big Data Processing specialization the graduate is prepared for the role of data scientist with abilities in data mining and related data analytics knowledge.",CS
N0114A300066,Učitelství matematiky pro střední školy se sdruženým studiem Učitelství informatiky pro střední školy,Teacher Education of Mathematics for Upper Secondary Schools with double curriculum study Teacher Education of Computer Science for Upper Secondary Schools,"11320",N,D,"
","
",CS
N0114A300066,Učitelství matematiky pro střední školy se sdruženým studiem Učitelství informatiky pro střední školy,Teacher Education of Mathematics for Upper Secondary Schools with double curriculum study Teacher Education of Computer Science for Upper Secondary Schools,"11320",N,D,"
","
",CS
