"POVINN","PNAZEV","PANAZEV","VPLATIOD","VPLATIDO","PFAKULTA","PGARANT","PVYUCOVAN","VSEMZAC","VSEMPOC","PVYJAZYK","VROZSAHPR1","VROZSAHCV1","VROZSAHPR2","VROZSAHCV2","VRVCEM","VTYP","VEBODY","VUCIT1","VUCIT2","VUCIT3","PPOCMIN","PPOCMAX"
N#OI100,Profilující předměty oboru obecná informatika Bc.,Major Courses in General Computer Science BA,"2004","9999","11320",,V,,,,,,,,,,,,,,,
N#RC021,inform 1.r. bak. - R,"Computer Science 1st year, bachelor - R","2003","9999","11320",,Z,,,,,,,,,,,,,,,
N#TV004,Povinná tělesná výchova pro 1. ročník Bc. R1/R2,Compulsory Physical Education for 1st year BA R1/R2,"2004","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#UD121,Povinné předměty učitelství deskr. geometrie 2.s. Bc.,Core Courses in Teaching Descriptive Geometry 2nd semester BA,"2004","9999","11320",,V,,,,,,,,,,,,,,,
N#UM111,Povinné předměty učitelství matematika Bc. 1.s.,Core Courses in Teaching Mathematics BA 1st semester,"2004","9999","11320","32-KDM",V,,,,,,,,,,,,,,,
N#UZ002,UZákladní školy-Matematika 2.SZZ,Primary School Teaching - Mathematics 2nd Final State Examination,"2004","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#XI316,Povinné bakal. předm. učit. I v komb. s odb. I Mgr.,Core Bachelor Courses in Teaching I in combination with spec. I MA ,"2019","9999","11320","32-KSVI",V,,,,,,,,,,,,,,,
N#XP339,Povinné předměty programování Bc. před SZZ,Core Courses in Programming BA before Final State Examination,"2019","9999","11320",,V,,,,,,,,,,,,,,,
N#XX012,"NXXX007, NXXX008, NXXX009, NXXX010, NXXX011, NXXX012, NXXX013, NXXX019, NXXX020, NXXX021, NXXX026, NXXX027, NXXX028, NXXX029, NXXX032, NXXX034, NXXX035, NXXX036, NXXX037, NXXX038, NXXX039, NXXX040, NXXX051, NXXX052, NXXX053, NXXX056, NXXX066, NXXX067",,"2019","2021","11320",,V,,,CZE,,,,,,,,,,,,
N#XX012,"NXXX007, NXXX008, NXXX009, NXXX010, NXXX011, NXXX012, NXXX013, NXXX019, NXXX020, NXXX021, NXXX026, NXXX027, NXXX028, NXXX029, NXXX032, NXXX034, NXXX035, NXXX036, NXXX037, NXXX038, NXXX039, NXXX040, NXXX051, NXXX052, NXXX053, NXXX056, NXXX066, NXXX067",,"2022","9999","11320",,Z,,,CZE,,,,,,,,,,,,
N#XX022,"NXXX010, NXXX014, NXXX016, NXXX017, NXXX018, NXXX022, NXXX023, NXXX024, NXXX025, NXXX026, NXXX030, NXXX031, NXXX047, NXXX049, NXXX050",,"2020","2021","11320",,V,,,CZE,,,,,,,,,,,,
N#XX022,"NXXX010, NXXX014, NXXX016, NXXX017, NXXX018, NXXX022, NXXX023, NXXX024, NXXX025, NXXX026, NXXX030, NXXX031, NXXX047, NXXX049, NXXX050",,"2022","9999","11320",,Z,,,CZE,,,,,,,,,,,,
N#XX031,"NXXX011, NXXX012, NXXX013, NXXX014, NXXX016, NXXX017, NXXX070, NXXX071",,"2019","2021","11320",,V,,,CZE,,,,,,,,,,,,
N#XX031,"NXXX011, NXXX012, NXXX013, NXXX014, NXXX016, NXXX017, NXXX070, NXXX071",,"2022","9999","11320",,Z,,,CZE,,,,,,,,,,,,
NAFF001,Sociální aspekty elektronické komunikace,Social Aspects of Electronic Communication,"2017","9999","11320","32-KSVI",Z,"1","1",CZE,"0","2",,,HT,Z,3,"16634",,,,
NAFY049,Předpovědní a pozorovací metody,Prognostic and observation methods,"2020","2020","11320","32-KFA",N,"2","1",CZE,"2","1",,,HT,F,4,"11599","12089",,,
NAFY049,Předpovědní a pozorovací metody,Prognostic and observation methods,"2021","9999","11320","32-KFA",N,"2","1",CZE,"1","1",,,HT,*,3,"12089",,,,
NAFY055,Úvod do teoretické fyziky II,Introduction to Theoretical Physics II,"2020","2020","11320","32-UTF",V,"2","1",CZE,"2","2",,,HT,*,6,"11483","11143","11325",,
NAFY055,Úvod do teoretické fyziky II,Introduction to Theoretical Physics II,"2021","9999","11320","32-UTF",N,"2","1",CZE,"2","2",,,HT,*,6,"11483","11143","11325",,
NAIL062,Výroková a predikátová logika,Propositional and Predicate Logic,"2020","2021","11320","32-KTIML",V,"1","1",CZE,"2","2",,,HT,*,5,"11606",,,,
NAIL062,Výroková a predikátová logika,Propositional and Predicate Logic,"2022","2022","11320","32-KTIML",V,"1","1",CZE,"2","2",,,HT,*,5,"11606",,,,
NAIL062,Výroková a predikátová logika,Propositional and Predicate Logic,"2023","9999","11320","32-KTIML",V,"1","1",CZE,"2","2",,,HT,*,5,"11606","16584",,,
NAIL081,Znalosti v multiagentových systémech II,Knowledge in Multiagent Systems II,"2016","9999","11320","32-KTIML",Z,"2","1",CZE,"2","0",,,HT,K,3,"11439",,,,
NAIL120,Úvod do umělé inteligence,Introduction to Artificial Intelligence,"2019","9999","11320","32-KTIML",V,"2","1",CZE,"2","2",,,HT,*,5,"11622",,,,
NAIX062,Výroková a predikátová logika,Propositional and Predicate Logic,"2020","9999","11320","32-STUD",V,"1","1",CZE,"2","2",,,HT,*,6,"11606",,,,
NALG201,Teorie třídových těles,Class Field Theory,"2016","2021","11320","32-KA",N,"2","1",CZE,"4","0",,,HT,K,6,"10899",,,,
NALG201,Teorie třídových těles,Class Field Theory,"2022","9999","11320","32-KA",Z,"2","1",CZE,"4","0",,,HT,K,6,"10899",,,,
NAST013,Astrofyzika I,Astrophysics I,"2020","2022","11320","32-AUUK",V,"1","1",CZE,"4","0",,,HT,K,6,"24188","11445",,,
NAST013,Astrofyzika I,Astrophysics I,"2023","9999","11320","32-AUUK",V,"1","1",CZE,"4","0",,,HT,K,6,"24188",,,,
NBCM003,Experimentální metody biofyziky IV,Experimental Methods in Biophysics IV.,"2004","9999","11320","32-FUUK",Z,"2","1",,"2","0",,,HT,K,3,"11371","11795",,,
NBCM024,Biologie kvasinek,Yeast Biology,"2019","2022","11320","32-FUUK",V,"2","1",CZE,"2","0",,,HT,K,3,"11488",,,,
NBCM024,Biologie kvasinek,Yeast Biology,"2023","2023","11320","32-FUUK",V,"2","1",CZE,"2","0",,,HT,K,3,"71987",,,,
NBCM024,Biologie kvasinek,Yeast Biology,"2024","9999","11320","32-FUUK",V,"2","1",CZE,"2","0",,,HT,K,3,"12611",,,,
NBCM052,Vybrané partie z kvantové teorie /PGF065/,Selected Topics on Quantum Theory (PGF065),"2000","9999","11320","32-KCHFO",Z,"2","1",,"0","0",,,HT,-,0,"12400",,,,
NBCM077,Speciální praktikum III,Special Practical Course III,"2001","2020","11320","32-KMF",V,"1","1",,"0","4",,,HT,F,6,"13034",,,,
NBCM077,Speciální praktikum III,Special Practical Course III,"2021","9999","11320","32-KMF",N,"1","1",CZE,"0","4",,,HT,F,6,"13034",,,,
NBCM229,Technologie přípravy polymerních fotonických prvků a jejich charakterizace,Preparation of Polymer Photonic Components and Their Characterization,"2008","9999","11320","32-KMF",V,"2","1",CZE,"1","2",,,HT,F,5,"12404",,,,
NBCM233,Metody analýzy povrchů a tenkých vrstev,Analysis Methods of Surfaces and Thin Layers,"2018","2021","11320","32-KMF",V,"1","1",CZE,"2","1",,,HT,*,5,"12939","12591","11724",,
NBCM233,Metody analýzy povrchů a tenkých vrstev,Analysis Methods of Surfaces and Thin Layers,"2022","9999","11320","32-KMF",V,"1","1",CZE,"2","1",,,HT,*,5,"12939","12591","11724",,
NBCM312,Kurs fluorescenční spektroskopie,Fluorescence Spectroscopy Course,"2006","9999","11320","32-FUUK",Z,"3","1",,"0","2",,,HT,F,3,"11403","11582",,,
NBCM347,Molekulární dynamika II,Molecular dynamics II,"2020","9999","11320","32-FUUK",V,"1","1",CZE,"2","1",,,HT,*,5,"11621","63390",,,
NCGD001,Vývoj počítačových her 1,Computer Games Development 1,"2020","2020","11320","32-KSVI",V,"2","1",CZE,"2","2",,,HT,*,6,"12986","13860",,,
NCGD001,Vývoj počítačových her 1,Computer Games Development 1,"2021","2021","11320","32-KSVI",V,"2","1",CZE,"2","2",,,HT,*,6,"40505",,,,
NCGD001,Vývoj počítačových her 1,Computer Games Development 1,"2022","2022","11320","32-KSVI",V,"2","1",CZE,"2","2",,,HT,*,6,"40505",,,,
NCGD001,Vývoj počítačových her 1,Computer Games Development 1,"2023","9999","11320","32-KSVI",V,"2","1",ENG,"2","2",,,HT,*,6,"40505",,,,
NCGD004,Úvod do herního designu,Introduction to Game Design,"2020","2022","11320","32-KSVI",V,"1","1",CZE,"1","1",,,HT,*,3,"40505",,,,
NCGD004,Úvod do herního designu,Introduction to Game Design,"2023","9999","11320","32-KSVI",N,"1","1",CZE,"1","1",,,HT,*,3,"40505",,,,
NCHF072,Aplikovaná matematika II,Applied Mathematics II,"2019","2022","11320","32-KFKL",V,"2","1",CZE,"3","3",,,HT,*,6,"21455",,,,
NCHF072,Aplikovaná matematika II,Applied Mathematics II,"2023","9999","11320","32-KFKL",V,"2","1",CZE,"3","3",,,HT,*,6,"21455","16238",,,
NDBI001,Dotazovací jazyky 1,Query Languages 1,"2020","2022","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"11789","24712",,,
NDBI001,Dotazovací jazyky 1,Query Languages 1,"2023","2023","11320","32-KSI",N,"1","1",CZE,"2","2",,,HT,*,5,"11789",,,,
NDBI001,Dotazovací jazyky 1,Query Languages 1,"2024","9999","11320","32-KSI",Z,"1","1",CZE,"2","2",,,HT,*,5,"11789",,,,
NDBI006,Dotazovací jazyky 2,Query Languages 2,"2020","2022","11320","32-KSI",V,"2","1",CZE,"2","2",,,HT,*,5,"11789","24712",,,
NDBI006,Dotazovací jazyky 2,Query Languages 2,"2023","2023","11320","32-KSI",N,"2","1",CZE,"2","2",,,HT,*,5,"11789",,,,
NDBI006,Dotazovací jazyky 2,Query Languages 2,"2024","9999","11320","32-KSI",Z,"2","1",CZE,"2","2",,,HT,*,5,"11789",,,,
NDBI007,Databázové přístupové metody,Database Access Methods,"2020","2020","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"12657",,,,
NDBI007,Databázové přístupové metody,Database Access Methods,"2021","2021","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"11272",,,,
NDBI007,Principy organizace dat,Principles of Data Organization,"2022","2023","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"11272",,,,
NDBI007,Principy organizace dat,Principles of Data Organization,"2024","2024","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"11272",,,,
NDBI007,Principy organizace dat,Principles of Data Organization,"2025","9999","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"11272",,,,
NDBI016,Transakce,Transactions,"2012","2022","11320","32-KSI",V,"2","1",,"2","0",,,HT,K,3,"13461",,,,
NDBI016,Transakce,Transactions,"2023","2023","11320","32-KSI",V,"2","1",CZE,"2","0",,,HT,K,3,"13461",,,,
NDBI016,Transakce,Transactions,"2024","9999","11320","32-KSI",Z,"2","1",CZE,"2","0",,,HT,K,3,"13461",,,,
NDBI021,Uživatelské preference,User preferences,"2021","2021","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"30014",,,,
NDBI021,Uživatelské preference,User preferences,"2022","2022","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"30014",,,,
NDBI021,Uživatelské preference a pokročilé metody doporučování,User preferences and advanced recommending methods,"2023","2023","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"30014",,,,
NDBI021,Uživatelské preference a pokročilé metody doporučování,User preferences and advanced recommending methods,"2024","9999","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"30014",,,,
NDBI021,Zákaznické preference,Customer preferences,"2020","2020","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"12236",,,,
NDBI023,Dobývání znalostí,Data Mining,"2020","9999","11320","32-KTIML",V,"2","1",ENG,"2","2",,,HT,*,5,"11328","11369",,,
NDBI025,Databázové systémy,Database Systems,"2020","2021","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"12471",,,,
NDBI025,Databázové systémy,Database Systems,"2022","9999","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"13461",,,,
NDBI033,"Netradiční databázové modely, architektury a jazyky","Non-traditional Database Models, Architectures and Languages","2013","2021","11320","32-KSI",V,"1","1",CZE,"2","0",,,HT,K,3,"11789",,,,
NDBI033,"Netradiční databázové modely, architektury a jazyky","Non-traditional Database Models, Architectures and Languages","2022","2022","11320","32-KSI",N,"1","1",CZE,"2","0",,,HT,K,3,"11789",,,,
NDBI033,"Netradiční databázové modely, architektury a jazyky","Non-traditional Database Models, Architectures and Languages","2023","9999","11320","32-KSI",Z,"1","1",CZE,"2","0",,,HT,K,3,"11789",,,,
NDBI034,Vyhledávání multimediálního obsahu na webu,Multimedia Retrieval,"2016","2020","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"10885",,,,
NDBI034,Vyhledávání multimediálního obsahu na webu,Multimedia Retrieval,"2021","9999","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"10885",,,,
NDBI037,Informační modely s uspořádáním,Information Models with Ordering,"2021","2021","11320","32-KSI",N,"1","1",CZE,"2","1",,,HT,*,4,"12236",,,,
NDBI037,Informační modely s uspořádáním,Information Models with Ordering,"2022","9999","11320","32-KSI",Z,"1","1",CZE,"2","1",,,HT,*,4,"12236",,,,
NDBI037,Informační modely s uspořádáním,Information Models with Ordering ,"2020","2020","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"12236",,,,
NDBI040,Moderní databázové systémy,Modern Database Systems,"2020","2020","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"11272",,,,
NDBI040,Moderní databázové systémy,Modern Database Systems,"2021","2023","11320","32-KSI",V,"2","1",CZE,"2","2",,,HT,*,5,"11272",,,,
NDBI040,Moderní databázové systémy,Modern Database Systems,"2024","2024","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"11272",,,,
NDBI040,Moderní databázové systémy,Modern Database Systems,"2025","9999","11320","32-KSI",V,"2","1",CZE,"2","2",,,HT,*,5,"11272",,,,
NDBI042,Techniky vizualizace dat,Data Visualization Techniques,"2020","9999","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"12657",,,,
NDBI047,Aplikace Big Data technologií v Data Science,Application of Big Data Technologies in Data Science,"2018","2020","11320","32-KSI",V,"2","1",CZE,"1","2",,,HT,*,4,"11272",,,,
NDBI047,Aplikace Big Data technologií v Data Science,Application of Big Data Technologies in Data Science,"2021","2021","11320","32-KSI",N,"2","1",CZE,"1","2",,,HT,*,4,"11272",,,,
NDBI047,Aplikace Big Data technologií v Data Science,Application of Big Data Technologies in Data Science,"2022","9999","11320","32-KSI",Z,"2","1",CZE,"1","2",,,HT,*,4,"11272",,,,
NDBI048,Data Science,Data Science,"2021","9999","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"11272",,,,
NDBI049,Dotazovací jazyky,Query Languages,"2024","2024","11320","32-KSI",V,"1","1",CZE,"2","0",,,HT,K,3,"11789","24712",,,
NDBI049,Dotazovací jazyky,Query Languages,"2025","9999","11320","32-KSI",V,"1","1",CZE,"2","0",,,HT,K,3,"24712",,,,
NDBI049,Dotazovací jazyky 1,Query Languages 1,"2023","2023","11320","32-KSI",V,"1","1",CZE,"2","0",,,HT,K,3,"11789",,,,
NDBI050,Dotazovací jazyky 2,Query Languages 2,"2023","2023","11320","32-KSI",V,"2","1",CZE,"2","0",,,HT,K,3,"11789",,,,
NDBI050,Dotazovací jazyky 2,Query Languages 2,"2024","9999","11320","32-KSI",Z,"2","1",CZE,"2","0",,,HT,K,3,"11789",,,,
NDBX007,Databázové přístupové metody,Database access methods,"2020","9999","11320","32-KSI",Z,"1","1",CZE,"2","1",,,HT,*,5,"12657",,,,
NDBX025,Databázové systémy,Database Systems,"2020","9999","11320","32-STUD",V,"1","1",CZE,"2","2",,,HT,*,6,"12471",,,,
NDEK012,Český jazyk pro cizince,Czech for foreigner,"2016","2021","11320","32-STUD",N,"3","1",CZE,"0","0",,,HT,-,0,,,,,
NDEK012,Český jazyk pro cizince,Czech for foreigner,"2022","9999","11320","32-STUD",Z,"3","1",CZE,"0","1",,,HT,-,0,,,,,
NDFY055,Fyzikální vzdělávání ve školních vzdělávacích programech I,Physics Teaching in School Educational Programmes I,"2015","2021","11320","32-KDF",N,"2","1",,"0","2",,,HT,Z,3,"12475",,,,
NDFY055,Fyzikální vzdělávání ve školních vzdělávacích programech I,Physics Teaching in School Educational Programmes I,"2022","9999","11320","32-KDF",Z,"2","1",CZE,"0","2",,,HT,Z,3,"12475",,,,
NDFY079,Praxe v mimoškolním fyzikálním vzdělávání I,Extracurricular  Physics Teaching Practice I,"2019","9999","11320","32-KDF",N,"3","1",CZE,"0","1",,,HT,Z,2,"11728",,,,
NDGF008,Interferenční seismické vlny,Interference Seismic Waves,"2016","9999","11320","32-KG",V,"3","1",CZE,"2","0",,,HT,K,3,"11225",,,,
NDIM013,Didaktika matematiky II,Didactics of mathematics II,"2009","9999","11320","32-KDM",Z,"2","1",CZE,"2","2",,,HT,Z,6,"11765",,,,
NDIR003,Diferenciální rovnice,Differential Equations,"2006","9999","11320","32-KMA",Z,"2","1",,"4","2",,,HT,*,9,"12515",,,,
NDMI002,Diskrétní matematika,Discrete Mathematics,"2020","2021","11320","32-KAM",V,"1","1",CZE,"2","2",,,HT,*,5,"12164","11098",,,
NDMI002,Diskrétní matematika,Discrete Mathematics,"2022","9999","11320","32-KAM",V,"1","1",CZE,"2","2",,,HT,*,5,"12164","11098",,,
NDMI011,Kombinatorika a grafy 1,Combinatorics and Graph Theory 1,"2020","2021","11320","32-IUUK",V,"1","1",CZE,"2","2",,,HT,*,5,"11105","12164","53799",,
NDMI011,Kombinatorika a grafy 1,Combinatorics and Graph Theory 1,"2022","2022","11320","32-IUUK",V,"1","1",CZE,"2","2",,,HT,*,5,"11105","12164",,,
NDMI011,Kombinatorika a grafy 1,Combinatorics and Graph Theory 1,"2023","9999","11320","32-IUUK",V,"1","1",CZE,"2","2",,,HT,*,5,"11105","12164",,,
NDMI028,Aplikace lineární algebry v kombinatorice,Linear Algebra Applications in Combinatorics,"2020","2020","11320","32-KAM",V,"1","1",CZE,"2","2",,,HT,*,5,"12460",,,,
NDMI028,Aplikace lineární algebry v kombinatorice,Linear Algebra Applications in Combinatorics,"2021","2021","11320","32-KAM",N,"1","1",CZE,"2","2",,,HT,*,5,"12460",,,,
NDMI028,Aplikace lineární algebry v kombinatorice,Linear Algebra Applications in Combinatorics,"2022","2022","11320","32-KAM",V,"1","1",CZE,"2","2",,,HT,*,5,"12460",,,,
NDMI028,Aplikace lineární algebry v kombinatorice,Linear Algebra Applications in Combinatorics,"2023","2023","11320","32-KAM",N,"1","1",CZE,"2","2",,,HT,*,5,"12460",,,,
NDMI028,Aplikace lineární algebry v kombinatorice,Linear Algebra Applications in Combinatorics,"2024","9999","11320","32-KAM",V,"1","1",CZE,"2","2",,,HT,*,5,"12460",,,,
NDMI050,"Úvod do řešení problémů kombinatorických, mat. i jiných (IPS) I","Introduction to Problem Solving in Combinatorics, Mathematics and Other Fields (IPS) I","2020","9999","11320","32-IUUK",V,"1","1",CZE,"0","2",,,HT,Z,3,"10734","12406",,,
NDMI074,Algoritmy a jejich implementace,Algorithms and Their Implementation,"2020","2020","11320","32-KAM",V,"2","1",CZE,"2","2",,,HT,*,5,"12406",,,,
NDMI074,Algoritmy a jejich implementace,Algorithms and Their Implementation,"2021","2021","11320","32-KAM",N,"2","1",CZE,"2","2",,,HT,*,5,"12406",,,,
NDMI074,Algoritmy a jejich implementace,Algorithms and Their Implementation,"2022","2022","11320","32-KAM",V,"2","1",CZE,"2","2",,,HT,*,5,"12406",,,,
NDMI074,Algoritmy a jejich implementace,Algorithms and Their Implementation,"2023","2023","11320","32-KAM",N,"2","1",CZE,"2","2",,,HT,*,5,"12406",,,,
NDMI074,Algoritmy a jejich implementace,Algorithms and Their Implementation,"2024","9999","11320","32-KAM",V,"2","1",CZE,"2","2",,,HT,*,5,"12406",,,,
NDMI087,Analytická kombinatorika,Analytic combinatorics,"2020","2020","11320","32-IUUK",V,"2","1",CZE,"2","1",,,HT,K,4,"11105",,,,
NDMI087,Analytická kombinatorika,Analytic combinatorics,"2021","2021","11320","32-IUUK",N,"2","1",CZE,"2","1",,,HT,K,4,"11105",,,,
NDMI087,Analytická kombinatorika,Analytic combinatorics,"2022","2022","11320","32-IUUK",V,"2","1",ENG,"2","1",,,HT,K,4,"11105",,,,
NDMI087,Analytická kombinatorika,Analytic combinatorics,"2023","2023","11320","32-IUUK",N,"2","1",ENG,"2","1",,,HT,K,4,"11105",,,,
NDMI087,Analytická kombinatorika,Analytic combinatorics,"2024","9999","11320","32-IUUK",V,"2","1",ENG,"2","1",,,HT,K,4,"11105",,,,
NDMI097,Výpočetní geometrie,Computational Geometry,"2020","9999","11320","32-KAM",N,"2","1",CZE,"2","2",,,HT,*,5,"11098",,,,
NDMI100,Úvod do kryptografie,Introduction to cryptography,"2020","2021","11320","32-KAM",V,"1","1",ENG,"2","0",,,HT,K,3,"12406",,,,
NDMI100,Úvod do kryptografie,Introduction to cryptography,"2022","9999","11320","32-KAM",V,"2","1",ENG,"2","0",,,HT,K,3,"12406",,,,
NDMI105,Topics in Structural Graph Theory and Algorithms,Topics in Structural Graph Theory and Algorithms,"2020","2020","11320","32-IUUK",N,"1","1",ENG,"2","0",,,HT,K,3,"68975",,,,
NDMI105,Topics in Structural Graph Theory and Algorithms,Topics in Structural Graph Theory and Algorithms,"2021","2021","11320","32-IUUK",V,"2","1",ENG,"2","0",,,HT,K,3,"68975",,,,
NDMI105,Topics in Structural Graph Theory and Algorithms,Topics in Structural Graph Theory and Algorithms,"2022","9999","11320","32-IUUK",N,"2","1",ENG,"2","0",,,HT,K,3,"68975",,,,
NDMK007,Prediktabilita atmosférických procesů,Predictability of Atmospheric Processes,"2004","9999","11320","32-KFA",Z,"2","1",,"2","0",,,HT,K,3,"12223","11770",,,
NDMK015,Klimatologický seminář,Seminar on Climatology,"2004","9999","11320","32-KFA",Z,"2","1",,"0","2",,,HT,Z,3,"12512",,,,
NDMX011,Kombinatorika a grafy 1,Combinatorics and Graph Theory 1,"2020","9999","11320","32-IUUK",Z,"1","1",CZE,"2","2",,,HT,*,6,"11105","12164","53799",,
NEVF148,Molekulová a iontová spektroskopie,Molecular and Ion Spectroscopy,"2020","9999","11320","32-KFPP",V,"1","1",CZE,"2","0",,,HT,K,3,"12367","11706",,,
NEVF161,Moderní počítačová fyzika II,Modern Computational Physics II,"2021","9999","11320","32-KFPP",V,"2","1",CZE,"2","1",,,HT,F,5,"11066","11793",,,
NEVF161,Moderní počítačová fyzika II,Modern computational physics II,"2020","2020","11320","32-KFPP",V,"2","1",CZE,"2","1",,,HT,F,5,"11066","11793",,,
NEVF165,Moderní přístroje ve fyzikálních experimentech,Modern Instruments in Physical Experiments,"2021","9999","11320","32-KFPP",V,"2","1",CZE,"2","1",,,HT,*,4,"11320","11793","12437",,
NEVF165,Moderní přístroje ve fyzikálních experimentech,Modern instruments in physical experiments,"2018","2020","11320","32-KFPP",V,"2","1",CZE,"2","1",,,HT,*,4,"11320","11793","12437",,
NEVF504,Fyzikální procesy ve sluneční soustavě,Physical Processes in Solar System,"2020","9999","11320","32-KFPP",V,"1","1",CZE,"2","0",,,HT,K,3,"12681",,,,
NFOE021,Cvičení z fyziky,Exercises in Physics,"2019","2020","11320","32-KCHFO",V,"3","1",CZE,"0","2",,,HT,Z,2,"12494","12917","13179",,
NFOE021,Cvičení z fyziky,Exercises in Physics,"2021","9999","11320","32-KCHFO",V,"3","1",CZE,"0","2",,,HT,Z,2,"12494","13179",,,
NFPL014,Dielektrické vlastnosti pevných látek,Dielectric Properties of Solids,"2003","9999","11320","32-KFKL",V,"1","1",,"2","0",,,HT,K,3,"11753",,,,
NFPL045,Experimentální cvičení II,Experimental Exercises II,"2004","9999","11320","32-KFM",V,"1","1",,"0","2",,,HT,Z,3,"12415","11589",,,
NFPL081,Poruchy krystalů,Crystal Defects,"2003","2021","11320","32-KFM",N,"1","1",,"2","0",,,HT,K,3,"12724",,,,
NFPL081,Poruchy krystalů,Crystal Defects,"2022","9999","11320","32-KFM",Z,"1","1",CZE,"2","0",,,HT,K,3,"12724",,,,
