"POVINN","TYP","JAZYK","TITLE","MEMO","PRAVO"
NAIL062,S,ENG,syllabus,"Propositional logic: elementary syntax and semantics, normal forms of propositional formulas, problem of satisfiability. Tableau method and resolution in propositional logic. Completeness theorem for propositional logic.

Predicate (first-order) logic: elementary syntax and semantics, prenex normal form of formulas, properties and models of first-order theories. Tableau method and resolution for predicate logic. Skolem's theorem, Herbrand's theorem. Completeness theorem for predicate logic, compactness.

Criteria for completeness, decidability. Limits of formal methods, Goedel's theorems. 
",ALL
NALG117,A,CZE,anotace,"Problém splnitelnosti omezení (the Constraint Satisfaction Problem, CSP) poskytuje společný rámec pro studium mnoha 
kombinatorických problémů v umělé inteligenci a informatice. V mnoha případech existují efektivní algoritmy pro řešení 
tohoto problému, v jiných (například 3SAT) lze ukázat jeho NP-úplnost. Takzvaná dichotomická hypotéza říká, že každý 
CSP je buď polynomiálně řešitelný, nebo NP-úplný. V přednášce se zaměříme na matematické aspekty CSP, zejména na 
algebraický přístup k řešení dichotomické hypotézy.
",ALL
NALG117,A,ENG,annotation,"The constraint satisfaction problem (CSP) provides a framework in which it is possible to express, in a natural way, many 
combinatorial problems encountered in artificial intelligence and computer science. In many cases effective algorithms exist 
to solve such a problem, and in others (such as 3SAT) we can show it to be NP-complete. It is conjectured that every CSP 
is either in P or NP-complete, which is the so called dichotomy conjecture. In the course, we will study the mathematics of 
CSP and focus on algebraic methods.

",ALL
NALG117,S,CZE,sylabus,"1. Definice CSP, ekvivalentní přístupy, základní pojmy a vlastnosti
2. Polymorfismy, algebraické redukce
3. Problémy konečné šířky
4. Schaeferova věta o dichotomii pro booleovská CSP
5. Malcevská CSP

",ALL
NALG117,S,ENG,syllabus,"1. Definition of CSP, its equivalent forms, basic notions and properties
2. Polymorphisms, algebraic reductions
3. Bounded width problems
4. Schaefer's dichotomy theorem for boolean CSPs
5. Maltsev CSPs

",ALL
NALG119,A,CZE,anotace,"Přednáška se zabývá vybranými tématy problému splnitelnosti omezení (the Constraint Satisfaction Problem, CSP). 
",ALL
NALG119,A,ENG,annotation,"Many real-life and combinatorial problems can be naturally expressed as aconstraint satisfaction problem (CSP), making it a 
universal, easy to understand declarative programming language. In many cases effective algorithms exist to solve such a 
problem, and in others (such as 3SAT) we can show it to beNP-complete. It is conjectured that every CSP is either in P or 
NP-complete,which is the so called dichotomy conjecture. In the course, we will study themathematics of CSP and focus on 
graph-theoretic and algebraic methods throughreading a series of research papers.
",ALL
NALG119,S,CZE,sylabus,"This course is intended as a continuation of the course which will betaught by Miklos Maroti in Fall 2007. The following new results willbe presented: 
- the new, improved characterization of finitely generated varietiesomitting type 1 (i. e. those for which the Dichotomy Conjecture saysthe CSP should be tractable), proved by Maroti and McKenzie in [6], 
- the proof of bounded width for the finite idempotent algebras invarieties with Jonsson width 3 by Kiss and Valeriote [4], and
- the proof that the finite idempotent algebras with few subpowers are tractable [1] [3].
",ALL
NALG119,S,ENG,syllabus,"This course is intended as a continuation of the course which will betaught by Miklos Maroti in Fall 2007. The following new results willbe presented: 
- the new, improved characterization of finitely generated varietiesomitting type 1 (i. e. those for which the Dichotomy Conjecture saysthe CSP should be tractable), proved by Maroti and McKenzie in [6], 
- the proof of bounded width for the finite idempotent algebras invarieties with Jonsson width 3 by Kiss and Valeriote [4], and
- the proof that the finite idempotent algebras with few subpowers are tractable [1] [3].

",ALL
NALG120,A,CZE,anotace,"Symbolický prostor a prostor symbolických měr, posuny a jejich topologická entropie, variační princip, markovské posuny, 
sofické posuny, okénkové kódy, automatické kódy, dynamické systémy a jejich symbolické reprezentace, substituční 
posuny, Sturmovské posuny, celulární automaty. 
",ALL
NALG120,A,ENG,annotation,"Symbolic space and the space of symbolic measures, subshifts and their topological entropy, variational principle, Markov 
subshifts, sofic subshifts, window codes, automatic codes, dynamical systems and their symbolic representations, 
substitutional subshifts, Sturmian subshifts, cellular automata. 
",ALL
NALG120,S,CZE,sylabus,"Symbolický prostor a prostor symbolických měr, posuny a jejich topologická entropie, variační princip, markovské posuny, sofické posuny, okénkové kódy, automatické kódy, dynamické systémy a jejich symbolické reprezentace, substituční posuny, Sturmovské posuny, celulární automaty. 

",ALL
NALG120,S,ENG,syllabus,"Symbolic space and the space of symbolic measures, subshifts and their topological entropy, variational principle, Markov subshifts, sofic subshifts, window codes, automatic codes, dynamical systems and their symbolic representations, substitutional subshifts, Sturmian subshifts, cellular automata. 

",ALL
NALG128,A,CZE,anotace,"Přednáška probírá souvislosti mezi matematickou logikou a teorií výpočetní složitosti.
",ALL
NALG128,A,ENG,annotation,"The course maps connections between mathematical logic and computational complexity theory.
",ALL
NALG128,S,CZE,sylabus,"Základní pojmy výpočetní složitosti. Definovatelnost predikátu v logice prvního řádu a jejich složitost.Základy teorie konečných modelů. Splnitelné výrokové formule a tautologie. Důkazové systémy pro výrokovou logiku.

",ALL
NALG128,S,ENG,syllabus,"Basic concepts of computational complexity theory. Definability of predicates in first-order logic, and their complexity. Elements of finite model theory. Satisfiable propositional formulas and tautologies. Propositional proof systems.

",ALL
NALG133,A,CZE,anotace,"Gaussovy a Jacobiho sumy, kubická a bikvadratická reciprocita, zeta funkce projektivní hyperplochy, Dedekindova 
zeta funkce, polární hustota množiny prvoideálů, formule pro výpočet třídového čísla.
",ALL
NALG133,A,ENG,annotation,"Gauss and Jacobi sums, cubic and biquadratic reciprocity, zeta function of projective hypersurface, Dedekind zeta 
function, polar density of a the set of primes, class number formula.
",ALL
NALG133,S,CZE,sylabus,"1. Gaussovy a Jacobiho sumy
2. Kubická a bikvadratická reciprocita
3. Zeta funkce projektivní hyperplochy
4. Dedekindova zeta funkce, polární hustota množiny prvoideálů
5. Formule pro výpočet třídového čísla
",ALL
NALG133,S,ENG,syllabus,"1. Gauss and Jacobi sums.
2. Cubic and biquadratic reciprocity.
3. Zeta function of projective hypersurface.
4. Dedekind zeta function, polar density of a the set of primes.
5. Class number formula.
",ALL
NALG138,A,CZE,anotace,"Prednáška se zabývá složitostí automatického dokazování ve výrokové logice z pohledu teorie výpočetní složitosti, 
zejména pak tzv. důkazové složitosti. Zakladním problémem je, jak složité je najít důkaz formule v daném 
(libovolném) důkazovém systému.
",ALL
NALG138,A,ENG,annotation,"The course is concerned with the complexity of automated proof search in propositional logic from the point of view of 
computational complexity theory and, in particular, proof complexity. The basic problem is how complex it is to find a proof of 
a formula in a given (arbitrary) proof system. 
",ALL
NALG138,S,CZE,sylabus,"- Cook-Reckhow důkazové systémy, polynomiální simulace.
- DPLL algoritmus a resoluce.
- Automatizovatelnost důkazového systému, dostupná interpolace, disjunktní NP dvojice. 
- Automatizovatelnost a existence jednosměrných funkcí.
- Neautomatizovatelnost Fregeho systému a jeho podsystému konstantní hloubky.
- Automatizovatelnost stromové resoluce a neautomatizovatelnost obecné resoluce. 
- Systémy R(k) a zobecněná automatizovatelnost. 
- Existence krátkých důkazů pro náhodné 3DNF formule velké hustoty.

",ALL
NALG138,S,ENG,syllabus,"- Cook-Reckhow proof systems,polynomial simulation.
- DPLL algoritm and resolution.
- Automatizability of a proof system, feasible interpolation, disjoint NP pairs.
- Automatizability and the existence of one-way functions.
- Non-automatizability of Frege system and of its constant depth subsystems.
- Automatizability of tree-like resolution and non-automatizability of general resolution. 
- Systems R(k) and essential automatizability.
- The existence of short proofs of random 3DNF formulas of high density.

",ALL
NAST003,A,CZE,anotace,"Historický úvod, podstata spirálních mlhovin, Lindbladův-Oortův model,
pohyby hvězd v okolí Slunce, mezihvězdná hmota, relaxační čas, hvězdy jako
kapalina, teorie potenciálu, externí galaxie.

Pro 2.r. Mgr studia AA příp. další zájemce z teoretických oborů.
",ALL
NAST003,A,ENG,annotation,"Historical introduction, the nature of spiral nebulae, Lindblad-Oort model,
stellar motions near the Sun, interstellar matter, relaxation time, stars as
the fluid, potential theory, external galaxies. 

Audience: final year of MA study and other interesed students.
",ALL
NAST003,S,CZE,sylabus,"* Historický úvod: 
Aristoteles, G.Galilei, T. Wright, I. Kant, J.H. Lambert, W. a J. Herschel, Ch. Messier, O. Struve, tvar Mléčné dráhy, E. Halley, pohyb Slunce, náhodné pohybyhvězd, Maxwellovo-Boltymannovo rozdělení, Schwarzschildovo elipsoidální rozdělení, teorie dvou proudů, Kapteynův Vesmír.

* Podstata spirálních mlhovin: 
* 'Velká debata': D. Curtis (temné pásy v mlhovinách) x H. Shapley (rozdělení kulových hvězdokup v prostoru),
A. Van Maanen (objev rotace mlhovin), tři objevy E.P. Hubbla (vzdálenost M31, klasifikace galaxií, rudý posuv galaxií), ostrovní vesmír, R.J. Trumpler (mezihvězdná absorbce), stavba naší Galaxie: disk, halo, bulge, nucleus, hvězdné populace. 

* Lindbladův-Oortův model: 
Rotace okolo vzdáleného středu, rotační křivka, diferenciální rotace, radiální rychlosti a vlastní pohyby jako funkce galaktické délky a vzdálenosti, Oortovy konstanty a co vypovídají o tvaru rotační křivky ve slunečním okolí. 

* Pohyby hvězd v okolí Slunce: 
Stabilita kruhové dráhy, pohyb v jejím okolí, epicykl, epicyklická frekvence, elipsoid rychlostí a jeho  orientace v prostoru, odchylka vertexu pro hvězdy spektrální třídy A, asymetrický drift, pohyb kolmo na galaktický disk, dynamická hustota v okolí Slunce, pohybové integrály, ergodické chování drah, třetí integrál, distribučni funkce, Boltzmanova rovnice, Oortova analýza, gradienty hustoty, Jeansův teorém, separovatelnost gravitačního potenciálu v okolí Slunce. 

* Mezihvězdná hmota: 
Záření HI, kinematické vzdálenosti, rotační křivka, AR_0, galaktické halo, celková hmotnost Mléčné dráhy,  Rayleigh-Jeansův zákon, zářivá teplota, rovnice přenosu záření, slupcová hustota HI, Hě, CO a další molekuly, gigantická molekulární oblaka, rozdělení HI a Hě v galaxiích, tvorba hvězd.

* Relaxační čas: 
Kumulativní efekt vzdálených setkání, čas přeletu (crossing time), relaxační čas hvězdných soustav  (otevřené hvězdokupy, kulové hvězdokupy, galaxie, kupy galaxií), projevy relaxace: přerozdělování energie, vypařování soustavy, nepružné srážky, vznik dvojhvězd, dynamické tření. 

* Hvězdy jako kapalina: 
Teorém o divergenci, rovnice kontinuity, Lagrangeova a Eulerova derivace, Eulerovy pohybové rovnice, jednočásticová distribuční funkce ve fázovém prostoru, bezsrážková Boltzmannova rovnice, pohybové konstanty a integrály, Jeansův teorém, Jeansovy rovnice. 

* Teorie potenciálu: 
Poissonova a Laplaceova rovnice, Gaussův teorém, potenciální energie, první a druhý Newtonův teorém, dvojice potenciál hustota: hmotný bod, homogenní sféra, Plummerova sféra, Kuzminův potenciál, potenciál Miyamotův-Nagaiův, elipsoidální soustavy, eliptické souřadnice, teorém o homeoidu, třetí Newtonúv teorém.

* Externí galaxie:
Hubblova klasifikace, M31, NGC 16365, M87, místní kupa galaxií, kupa galaxií v souhvězdí Panny, teorém o viriálu, skrytá hmota v kupách galaxií, relace Tully-Fisher a Faber-Jackson, extragalaktická škála vzdáleností, červený posuv světla galaxií, zákon Hubble-Lemaitre, rozpínání vesmíru a jeho stáří.
",ALL
NAST003,S,ENG,syllabus,"* Historical Introduction: 
Aristoteles, G.Galilei, T. Wright, I. Kant, J.H. Lambert, W. a J. Herschel, Ch. Messier, O. Struve, shape of the Milky Way, E. Halley, solar motion, random stellar motions, Maxwell-Boltzmann velocity distribution, Schwarzschild ellipsoidal distribution, theory of two stellar streams, Kapteyn Universe.  

* The Nature of Spiral Nebulae: 
Great debate H. Curtis (dark lanes in nebulae) versus H. Shapley (distribution of globular clusters in space), A. Van Maanen (rotation of nebulae), E. P. Hubble, distance of M31, classification of galaxies, red shift of galaxies, island Universe, R. J. Trumpler, interstellar absorption, structure of the Milky Way, disk, halo, bulge, nucleus, stellar populations. 

* Lindblad-Oort model: 
Rotation around a distant centre, rotation curve, differential rotation, radial velocities and proper motions as functions of galactic longitude and distance, Oort constants, shape of the rotation curve in the solar vicinity.

* Stellar motions near the Sun: 
Circular orbit and its stability, motion near the circular orbit, epicycle, epicyclic frequency, velocity ellipsoid and its
orientation in space, vertex deviation of spectral type A stars, asymmetrical drift, motion perpendicular the Galaxy symmetry plane, mass density near the Sun, integrals of motion, ergodic behavior of stellar orbits, third integral,
distribution function, Boltzmann equation, Oort analysis, density gradients, Jeans theorem, separability of the galactic gravitational potential near the Sun.

* Interstellar Matter: 
HI radiation, kinematical distances, rotation curve, AR_0, galactic halo, total mass of the Galaxy, Rayleigh-Jeans law, brightness temperature, equation of radiative transfer, HI column density, H2, CO and other molecules, giant molecular clouds, distribution of HI and H2 in galaxies, star formation.

* Relaxation Time: 
Cumulative effect of distant encounters, crossing time, relaxation time of stellar systems, open star clusters, globular clusters, clusters of galaxies, relaxation effects, energy redistribution, evaporation, non-ellastic collisions, formation of binaries, dynamical friction. 

* Stars as the Fluid: 
Divergence theorem, continuity equation, Lagrange and Euler derivative, Euler's equations of motion, single-particle distribution function in the phase space, collisionless Boltzmann equation, Jeans equations, tensor
virial theorem. 

* Potential Theory: 
Poisson and Laplace's equations, Gauss's theorem, potential energy, first and second Newton's theorem, potential-density pairs, point mass, homogeneous sphere, Plummer's sphere, Kuzmin's potential, Miamoto-Nagai potential, ellipsoidal systems, oblate spheroidal coordinates, homeoid theorem, Newton's third theorem.

* Extermal Galaxies: 
Hubble cassification, M31, NGC 1365, M87, local group of galaxies, Virgo cluster, dark matter in clusters of galaxies, Tully-Fisher relation, Faber-Jackson law, extragalactic distance scale, redshift of galaxy radiation, Hubble-Lemaitre law, expansion and age of the Universe.
",ALL
NBCM006,A,CZE,anotace,"Aktuální problematika biofyziky, diplomové semináře studentů.
",ALL
NBCM006,A,ENG,annotation,"Recent scientific problems in biophysics, students´  seminars on their diploma theses.
",ALL
NBCM006,C,CZE,cíl předmětu,"Seznámit studenty s organizací vědecké práce a vědecké výchovy
s důrazem na orální prezentaci vědeckých výsledků.",ALL
NBCM006,C,ENG,aim of subject,"To familiarize students with principles of research
work and to train them in oral presentation of results
achieved within their diploma works.",ALL
NBCM006,S,CZE,sylabus," 
   
 
 
",ALL
NBCM006,S,ENG,syllabus,"   
 
 
 
",ALL
NBCM009,A,CZE,anotace,"Přednášky poskytují úvod do studia biologickým systémů a živých
organismů. Seznamují biofyziky s obecnými principy a ukazují možnosti při
výběru biologických modelů. Poskytují základní znalosti z taxonomie,
fylogeneze a fyziologie živočichů.
",ALL
NBCM009,A,ENG,annotation,"The lectures provide an introduction into the study of biological systems and living organisms.
They make biophysicists familiar with general principles and point to possibilities in the selection 
of biological models. They provide basic knowledge from the fields of
animal taxonomy, phylogeny and physiology.
",ALL
NBCM009,S,CZE,sylabus,"Buňka jako základní stavební a funkční živý systém. Fyziologické funkce membrán a buněčných organel. Prvoci - jednobuněčné eukaryotní organismy. Prvoci jako modelové systémy. Patologičtí prvoci. Základní taxonomické pojmy a základy taxonomie. Přehled fylogeneze živočichů. Principy nervových regulací. Nervová buňka, membránový potenciál, akční potenciál, synaptický přenos. Fylogeneze nervových soustav. Nervová soustava člověka. Reflexní teorie a vyšší nervová činnost. Fyziologie smyslů. Fyziologie svalů. Principy humorálních regulací. Homeostáze. Základní mechanismy přenosu látkového signálu. Hormonální systémy bezobratlých a obratlovců. Rozmnožování a vývoj živočichů. Fylogenetický vývoj a fyziologie trávení, dýchání, oběhu tělních tekutin, vylučování a osmoregulace, termoregulace. 
",ALL
NBCM016,A,CZE,anotace,"Vybrané úlohy ze strukturní krystalografie a mechanických vlastností
kondenzovaných systémů.
",ALL
NBCM146,A,CZE,anotace,"Elastický, kvasielastický a neelastický rozptyl světla. Rayleigho teorie rozptylu. Rayleighova-Ganzova-Debyeova 
aproximace. Mieova teorie rozptylu. Difrakce. Jednoduchý a vícenásobný rozptyl. Difůzní rozptyl. Detekční technika. 
Metody měření. SALS – maloúhlový rozptyl. MALS – víceúhlová detekce rozpylu. Zimův graf.
",ALL
NBCM146,S,CZE,sylabus,"1. Šíření optických svazků 
2. Rayleigho teorie rozptylu 
3. Rayleigh-Ganz-Debye aproximace. 
3. Mieova teorie rozptylu
4. Difrakce
4. Jednoduchý a vícenásobný rozptyl.
5. Difusní rozptyl
6. Detekční technika 
7. Metody měření, turbidimetrie, jednoúhlové měření, MALS - víceúhlové měření 
8. Aplikace, měření koncentrace, analýza rozměrů a struktury částic, určení gyračního poloměru, určení molekulové váhy polymerů, sledování procesů agregace, flokulace, sedimentace, kontrola filtrace, SEC  
",ALL
NBCM152,A,CZE,anotace,"Aktuální problematika biofyziky, diplomové semináře studentů.
",ALL
NBCM152,A,ENG,annotation,"Recent scientific problems in biophysics, students´  seminars on their diploma theses.
",ALL
NBCM152,C,CZE,cíl předmětu,"Seznámit studenty s organizací vědecké práce a vědecké výchovy
s důrazem na orální prezentaci vědeckých výsledků.",ALL
NBCM152,C,ENG,aim of subject,"To familiarize students with principles of research
work and to train them in oral presentation of results
achieved within their diploma works.",ALL
NBCM152,S,CZE,sylabus," 
   
 
 
",ALL
NBCM152,S,ENG,syllabus,"   
 
 
 
",ALL
NBCM154,A,CZE,anotace,"Přednáška navazuje na NBCM110 Kvantovou teorii I. Formalismus druhého kvantování. Hamiltonián kvantové elektrodynamiky. Pozitronium. Radiační korekce k atomovým spektrům. Elektroslabé interakce a jejich detekce v atomové spektroskopii.
",ALL
NBCM154,A,ENG,annotation,"The lecture follows the NBCM110 Quantum Theory I. Formalism of the Second Quantization. Hamiltonian of 
quantum electrodynamics. Positronium. Radiation correction to atomic spectra. Electroweak interactions and their 
detection in atomic spectroscopy.
",ALL
NBCM154,S,CZE,sylabus,"* 1. Formalismus druhého kvantování
Volné a sebeinteragující elektronové pole; výraz pro energii vícečásticové funkce v Hartreeho-Fokově přiblížení.
* 2. Hamiltonián kvantové elektrodynamiky
Kvantování elektron-pozitronového pole; nábojová symetrie, kalibrační invariance.
* 3. Pozitronium
Virtální a reálná anihilace, výměna jednoho a dvou fotonů.
* 4. Radiační korekce
Obyčejná poruchová metoda, Feynmanův časoprostorový přístup, vlastní energie elektronu, polarizace vakua, renormalizace hmotnosti a náboje, anomální magnetický moment elektronu, Lambův posun.
* 5. Elektroslabé interakce při nízkých energiích
Beta rozpad - teorie Fermiho typu. Hrubý nástin Glashowovy-Salamovy-Weinbergovy teorie a jejích důsledků. Elektro-slabé neutrální proudy a jejich detekce na atomových spektrech.

",ALL
NBCM154,S,ENG,syllabus,"1. Formalism of the second quantization
Free and self-interacting electron field; expression for the energy of a multiparticle function in the Hartree-Fok approximation.
2. Hamiltonian of quantum electrodynamics
Electron-positron field quantization; charge symmetry, calibration invariance.
3. Positronium
Virtual and real annihilation, exchange of one and two photons.
4. Radiation correction
Common perturbation method, Feynman space-time approach, electron self-energy, vacuum polarization, mass and charge renormalization, anomalous magnetic moment of an electron, Lamb's shift.
5. Electroweak interactions at low energies
Beta decay - Fermi type theory. Rough outline of Glashow-Salam-Weinberg theory and its consequences. Electro-weak neutral currents and their detection on atomic spectra.
",ALL
NBJZ011,A,CZE,anotace,"Laboratorní měření a seznámení s provozem soustav, monitorujících radiologickou situaci v životním prostředí.
",ALL
NBJZ011,A,ENG,annotation,"The laboratory measurement and learning the systems for radiological monitoring of the environment.",ALL
NDBI025,A,CZE,anotace,"Základní kurs podávající průřez problematikou. Jsou popsány tři úrovně pohledu na data. Konceptuální 
modelování je založeno na ER a UML modelu, jsou zmíněny také základy teorie relačního modelu dat (relační 
algebra, normální formy). Transakční zpracování a paralelní přístup. Základy hledání v multimediálních 
databázích. Přehled možností reprezentace dat v souborech. Základy moderních (ne-relačních) databázových 
systémů.
",ALL
NDBI025,A,ENG,annotation,"An introductory course presenting a survey of the field. It covers database system architectures and the three levels 
of database schemata. Conceptual modelling is based on the ER and UML model. Basic theory of the relational 
data model is studied (relational algebra, normal forms). Transactions, parallel DB management. Basic methods 
for multimedia search. Summary of data file formats. Modern (non-relational) database systems.
",ALL
