"POVINN","PNAZEV","PANAZEV","VPLATIOD","VPLATIDO","PFAKULTA","PGARANT","PVYUCOVAN","VSEMZAC","VSEMPOC","PVYJAZYK","VROZSAHPR1","VROZSAHCV1","VROZSAHPR2","VROZSAHCV2","VRVCEM","VTYP","VEBODY","VUCIT1","VUCIT2","VUCIT3","PPOCMIN","PPOCMAX"
N$IN300,Předměty programu Informatika Mgr.,Computer Science Programme Courses MA,"2005","9999","11320","32-KTIML",V,,,,,,,,,,,,,,,
NAFY004,Praktická fyzika I - mechanika a kontinuum,Practical physics I - mechanics and continuum,"2020","2022","11320","32-KVOF",V,"1","1",CZE,"0","3",,,HT,F,4,"11408","11513",,,
NAFY004,Praktická fyzika I - mechanika a kontinuum,Practical physics I - mechanics and continuum,"2023","9999","11320","32-KVOF",N,"1","1",CZE,"0","3",,,HT,F,4,"11408","11513",,,
NAFY008,Práce s počítačem a programování,Work with PC and introduction to programming,"2020","2020","11320","32-KFKL",V,"1","1",CZE,"2","1",,,HT,F,5,"11337","31886",,,
NAFY008,Práce s počítačem a programování,Work with PC and introduction to programming,"2021","9999","11320","32-KFKL",N,"1","1",CZE,"2","1",,,HT,F,5,"11337","31886",,,
NAFY049,Předpovědní a pozorovací metody,Prognostic and observation methods,"2020","2020","11320","32-KFA",N,"2","1",CZE,"2","1",,,HT,F,4,"11599","12089",,,
NAFY049,Předpovědní a pozorovací metody,Prognostic and observation methods,"2021","9999","11320","32-KFA",N,"2","1",CZE,"1","1",,,HT,*,3,"12089",,,,
NAFY108,Předpovědní a pozorovací metody,Prognostic and observation methods,"2021","9999","11320","32-KFA",V,"2","1",CZE,"1","1",,,HT,*,3,"12089",,,,
NAIL048,Univerzální algebra a teorie modelu,Universal Algebra and Model Theory,"2001","9999","11320","32-KTIML",Z,"1","2",,"2","0","2","0",HT,-K,6,,,,,
NAIL049,Nestandardní metody v matematice,Nonstandard Methods in Mathematics,"1348","9999","11320","32-KTIML",Z,"2","1",,"2","2",,,HT,*,6,,,,,
NAIL062,Výroková a predikátová logika,Propositional and Predicate Logic,"2020","2021","11320","32-KTIML",V,"1","1",CZE,"2","2",,,HT,*,5,"11606",,,,
NAIL062,Výroková a predikátová logika,Propositional and Predicate Logic,"2022","2022","11320","32-KTIML",V,"1","1",CZE,"2","2",,,HT,*,5,"11606",,,,
NAIL062,Výroková a predikátová logika,Propositional and Predicate Logic,"2023","9999","11320","32-KTIML",V,"1","1",CZE,"2","2",,,HT,*,5,"11606","16584",,,
NAIL068,Umělé bytosti,Human-like Artificial Agents,"2020","2023","11320","32-KSVI",V,"2","1",CZE,"2","2",,,HT,*,5,"12986",,,,
NAIL068,Umělé bytosti,Human-like Artificial Agents,"2024","9999","11320","32-KSVI",N,"2","1",CZE,"2","2",,,HT,*,5,"12986",,,,
NAIL072,Rozpoznávání vzorů,Pattern Recognition,"2015","9999","11320","32-KSI",Z,"2","1",CZE,"2","0",,,HT,K,3,"12249",,,,
NAIL110,Praktikum z robotiky,Practical Course in Robotics,"2015","9999","11320","32-KTIML",V,"2","1",CZE,"1","3",,,HT,F,6,"12248","51532",,,
NAIL115,Přírodou inspirované algoritmy,Nature Inspired Algorithms,"2020","2020","11320","32-KTIML",N,"2","1",CZE,"2","2",,,HT,*,5,"14650",,,,
NAIL115,Přírodou inspirované algoritmy,Nature Inspired Algorithms,"2021","9999","11320","32-KTIML",N,"2","1",CZE,"2","2",,,HT,*,5,"14650",,,,
NAIL120,Úvod do umělé inteligence,Introduction to Artificial Intelligence,"2019","9999","11320","32-KTIML",V,"2","1",CZE,"2","2",,,HT,*,5,"11622",,,,
NAIX052,Seminář z umělé inteligence II,Seminar on Artificial Intelligence II,"2019","2021","11320","32-STUD",V,"2","1",CZE,"0","2",,,HT,Z,3,"11622",,,,
NAIX052,Seminář z umělé inteligence II,Seminar on Artificial Intelligence II,"2022","9999","11320","32-STUD",V,"2","1",CZE,"0","2",,,HT,Z,3,"11622",,,,
NAIX062,Výroková a predikátová logika,Propositional and Predicate Logic,"2020","9999","11320","32-STUD",V,"1","1",CZE,"2","2",,,HT,*,6,"11606",,,,
NAIX106,Multiagentní systémy,Multiagent Systems,"2019","2021","11320","32-STUD",V,"2","1",CZE,"2","2",,,HT,*,6,"11309",,,,
NAIX106,Multiagentní systémy,Multiagent Systems,"2022","9999","11320","32-STUD",V,"2","1",CZE,"2","2",,,HT,*,6,"11309",,,,
NAIX116,Sociální sítě a jejich analýza,Social networks and their analysis,"2019","2021","11320","32-STUD",V,"1","1",ENG,"2","2",,,HT,*,6,"11328","11369",,,
NAIX116,Sociální sítě a jejich analýza,Social networks and their analysis,"2022","9999","11320","32-STUD",V,"1","1",ENG,"2","2",,,HT,*,6,"11328","11369",,,
NALG002,Lineární algebra a geometrie II,Linear Algebra and Geometry II,"2018","9999","11320","32-KA",Z,"2","1",CZE,"4","2",,,HT,*,8,"11420",,,,
NALG004,Lineární algebra II,Linear Algebra II,"2004","9999","11320","32-KA",Z,"2","1",,"4","2",,,HT,*,9,"11613",,,,
NALG019,Teorie grupoidů,Theory of Groupoids,"1348","9999","11320","32-KA",Z,"1","1",,"2","0",,,HT,K,3,,,,,
NALG029,Kategorie modulů a homologická algebra,Categories of Modules and Homological Algebra,"2018","9999","11320","32-KA",Z,"2","1",CZE,"3","1",,,HT,*,6,"12673",,,,
NALG060,Homologické metody v Abelových grupách,Homological Methods in Abelian Groups,"2011","9999","11320","32-KA",Z,"2","1",,"2","0",,,HT,K,3,"12402",,,,
NALG070,Kombinatorická teorie svazů,Combinatorial Theory of Lattices,"2018","9999","11320","32-KA",Z,"1","2",CZE,"2","0","2","0",HT,-K,6,,,,,
NALG106,Zjemňující monoidy a dimenzní teorie svazů a okruhů,Refinement Monoids and Dimension Theory of Lattices and Rings,"2011","9999","11320","32-KA",Z,"2","1",,"2","0",,,HT,K,3,"12231",,,,
NAST002,Hvězdné atmosféry,Stellar Atmospheres,"2020","2022","11320","32-AUUK",V,"2","1",CZE,"3","0",,,HT,K,4,"24188","11585",,,
NAST002,Hvězdné atmosféry,Stellar Atmospheres,"2023","9999","11320","32-AUUK",V,"2","1",CZE,"3","0",,,HT,K,4,"24188",,,,
NBCM009,Vybrané partie z biologie pro biofyziky,Selected Topics on Biology for Biophysicists,"2014","2021","11320","32-FUUK",N,"1","1",,"2","0",,,HT,K,3,"11459",,,,
NBCM009,Vybrané partie z biologie pro biofyziky,Selected Topics on Biology for Biophysicists,"2022","9999","11320","32-FUUK",Z,"1","1",CZE,"2","0",,,HT,K,3,"11459",,,,
NBCM020,Laboratorní cvičení,Laboratory Exercises,"2005","2021","11320","32-FUUK",N,"1","1",,"0","6",,,HT,Z,9,"11083",,,,
NBCM020,Laboratorní cvičení,Laboratory Exercises,"2022","9999","11320","32-FUUK",Z,"1","1",CZE,"0","6",,,HT,Z,9,"11083",,,,
NBCM032,Speciální praktikum II,Special Practical Course II,"2006","2021","11320","32-KMF",N,"2","1",,"0","4",,,HT,F,6,"11473",,,,
NBCM032,Speciální praktikum II,Special Practical Course II,"2022","9999","11320","32-KMF",Z,"2","1",CZE,"0","4",,,HT,F,6,"11473",,,,
NBCM044,Seminář optické spektroskopie vysokého rozlišení,Seminar on High Resolution Optical Spectroscopy,"2020","2022","11320","32-KCHFO",V,"3","1",CZE,"0","2",,,HT,Z,3,"11600",,,,
NBCM044,Seminář optické spektroskopie vysokého rozlišení,Seminar on High Resolution Optical Spectroscopy,"2023","9999","11320","32-KCHFO",V,"3","1",CZE,"0","2",,,HT,Z,3,"11600","11410",,,
NBCM082,Krásná fyzika nehezky složitých látek,Beautiful Physics of Hideously Complex Materials,"2019","9999","11320","32-KMF",V,"2","1",CZE,"0","1",,,HT,Z,2,"17076",,,,
NBCM085,Statistická termodynamika makromolekul,Statistical Thermodynamics of Macromolecules,"2004","9999","11320","32-KMF",Z,"2","1",,"2","0",,,HT,K,3,"10733",,,,
NBCM099,Praktická cvičení z kvantové teorie molekul I,Practical Exercises in Quantum Theory of Molecules I,"2018","9999","11320","32-KCHFO",V,"2","1",CZE,"0","3",,,HT,Z,4,"12388","12494",,,
NBCM109,Základní otázky kvantové fyziky,Fundamental Issues of Quantum Physics,"2017","2021","11320","32-KCHFO",N,"1","1",CZE,"2","0",,,HT,K,3,"12494",,,,
NBCM109,Základní otázky kvantové fyziky,Fundamental Issues of Quantum Physics,"2022","9999","11320","32-KCHFO",Z,"1","1",CZE,"2","0",,,HT,K,3,"12494",,,,
NBCM171,"Metody, modely a algoritmy v biologii a v každodenním životě III. Počítačové modelování a simulace systémů","Methods, Models and Algoritms in Biology and Everyday Life III. Computer Modelling and Simulations","2015","9999","11320","32-KCHFO",V,"2","1",CZE,"0","1",,,HT,Z,1,"11182",,,,
NBCM180,Teoretický seminář biofyziky a chemické fyziky,Theoretical seminar of biophysics and chemical physics,"2020","2020","11320","32-KCHFO",V,"1","2",CZE,"0","1","0","1",HT,ZZ,4,"12388","11621",,,
NBCM180,Teoretický seminář biofyziky a chemické fyziky,Theoretical seminar of biophysics and chemical physics,"2021","2023","11320","32-KCHFO",V,"1","2",CZE,"0","1","0","1",HT,ZZ,4,"12388","11621",,,
NBCM180,Teoretický seminář biofyziky a chemické fyziky,Theoretical seminar of biophysics and chemical physics,"2024","9999","11320","32-KCHFO",N,"3","1",CZE,"0","1",,,HT,Z,2,"12388","11621",,,
NBCM197,Nekonvenční organické vrstvy a modifikace povrchů,Unconventional Organic Films and Surface Modifications,"2006","2021","11320","32-KMF",N,"2","1",,"2","1",,,HT,*,5,"11347",,,,
NBCM197,Nekonvenční organické vrstvy a modifikace povrchů,Unconventional Organic Films and Surface Modifications,"2022","9999","11320","32-KMF",Z,"2","1",CZE,"2","1",,,HT,*,5,"11347",,,,
NBCM204,Statistická termodynamika kondenzovaných soustav,Statistical Thermodynamics of Condensed Systems,"2006","2020","11320","32-KMF",V,"1","1",,"2","1",,,HT,*,5,"10733","37919",,,
NBCM204,Statistická termodynamika kondenzovaných soustav,Statistical Thermodynamics of Condensed Systems,"2021","9999","11320","32-KMF",V,"1","1",CZE,"2","1",,,HT,*,5,"10733","37919","21455",,
NBCM213,Fyzika přípravy tenkých vrstev,Physics of Thin Film Preparation,"2018","2021","11320","32-KMF",V,"1","1",CZE,"2","0",,,HT,K,3,"12939",,,,
NBCM213,Fyzika přípravy tenkých vrstev,Physics of Thin Film Preparation,"2022","2022","11320","32-KMF",V,"1","1",CZE,"2","0",,,HT,K,3,"12939",,,,
NBCM213,Fyzika přípravy tenkých vrstev,Physics of Thin Film Preparation,"2023","9999","11320","32-KMF",V,"1","1",CZE,"2","0",,,HT,K,3,"12939",,,,
NBCM218,Experimentální cvičení III,Experimental Exercises III,"2006","2021","11320","32-KMF",N,"1","1",,"0","3",,,HT,Z,4,"13034",,,,
NBCM218,Experimentální cvičení III,Experimental Exercises III,"2022","9999","11320","32-KMF",Z,"1","1",CZE,"0","3",,,HT,Z,4,"13034",,,,
NBCM345,Metody tenzorových sítí a DMRG v kvantové chemii,Tensor network methods and DMRG in quantum chemistry,"2016","2023","11320","32-KCHFO",V,"2","1",CZE,"2","0",,,HT,K,3,"13733",,,,
NBCM345,Metody tenzorových sítí a DMRG v kvantové chemii,Tensor network methods and DMRG in quantum chemistry,"2024","9999","11320","32-KCHFO",V,"1","1",CZE,"2","0",,,HT,K,3,"13733",,,,
NBJZ001,Jaderná fyzika,Nuclear Physics,"2004","9999","11320","32-UCJF",Z,"2","1",,"2","1",,,HT,*,5,,,,,
NBJZ020,Vybrané problémy fyziky jádra a elementárních částic,Selected Problems of Nuclear and Elementary Particle Physics,"2004","9999","11320","32-UCJF",Z,"2","1",,"2","0",,,HT,K,3,"11220",,,,
NBJZ022,Biofyzika a dozimetrie I,Biophysics and Dosimetry I,"2004","9999","11320","32-UCJF",Z,"1","1",,"2","0",,,HT,K,3,"12374",,,,
NBJZ028,Laboratoř závěrečné práce II,Thesis Laboratory II,"2004","9999","11320","32-UCJF",Z,"2","1",,"0","4",,,HT,F,6,,,,,
NCGD006,Praktikum z vývoje počítačových her v limitovaném čase,Practical Course on Rapid Game Development,"2020","2020","11320","32-KSVI",V,"3","1",CZE,"0","1",,,HT,Z,2,"13860",,,,
NCGD006,Praktikum z vývoje počítačových her v limitovaném čase,Practical Course on Rapid Game Development,"2021","2022","11320","32-KSVI",V,"3","1",CZE,"0","1",,,HT,Z,2,"40505",,,,
NCGD006,Praktikum z vývoje počítačových her v limitovaném čase,Practical Course on Rapid Game Development,"2023","2023","11320","32-KSVI",V,"3","1",CZE,"0","1",,,HT,Z,2,"40505","54720",,,
NCGD006,Praktikum z vývoje počítačových her v limitovaném čase,Practical Course on Rapid Game Development,"2024","9999","11320","32-KSVI",V,"3","1",CZE,"0","1",,,HT,Z,2,"93278",,,,
NCHF074,Aplikovaná matematika IV,Applied Mathematics IV,"2020","2022","11320","32-KFKL",V,"2","1",CZE,"2","2",,,HT,*,5,"12435",,,,
NCHF074,Aplikovaná matematika IV,Applied Mathematics IV,"2023","2023","11320","32-KFKL",V,"2","1",CZE,"2","2",,,HT,*,5,"12435","11924",,,
NCHF074,Aplikovaná matematika IV,Applied Mathematics IV,"2024","9999","11320","32-KFKL",V,"2","1",CZE,"2","2",,,HT,*,5,"12435","11924",,,
NDBI001,Dotazovací jazyky 1,Query Languages 1,"2020","2022","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"11789","24712",,,
NDBI001,Dotazovací jazyky 1,Query Languages 1,"2023","2023","11320","32-KSI",N,"1","1",CZE,"2","2",,,HT,*,5,"11789",,,,
NDBI001,Dotazovací jazyky 1,Query Languages 1,"2024","9999","11320","32-KSI",Z,"1","1",CZE,"2","2",,,HT,*,5,"11789",,,,
NDBI006,Dotazovací jazyky 2,Query Languages 2,"2020","2022","11320","32-KSI",V,"2","1",CZE,"2","2",,,HT,*,5,"11789","24712",,,
NDBI006,Dotazovací jazyky 2,Query Languages 2,"2023","2023","11320","32-KSI",N,"2","1",CZE,"2","2",,,HT,*,5,"11789",,,,
NDBI006,Dotazovací jazyky 2,Query Languages 2,"2024","9999","11320","32-KSI",Z,"2","1",CZE,"2","2",,,HT,*,5,"11789",,,,
NDBI007,Databázové přístupové metody,Database Access Methods,"2020","2020","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"12657",,,,
NDBI007,Databázové přístupové metody,Database Access Methods,"2021","2021","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"11272",,,,
NDBI007,Principy organizace dat,Principles of Data Organization,"2022","2023","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"11272",,,,
NDBI007,Principy organizace dat,Principles of Data Organization,"2024","2024","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"11272",,,,
NDBI007,Principy organizace dat,Principles of Data Organization,"2025","9999","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"11272",,,,
NDBI016,Transakce,Transactions,"2012","2022","11320","32-KSI",V,"2","1",,"2","0",,,HT,K,3,"13461",,,,
NDBI016,Transakce,Transactions,"2023","2023","11320","32-KSI",V,"2","1",CZE,"2","0",,,HT,K,3,"13461",,,,
NDBI016,Transakce,Transactions,"2024","9999","11320","32-KSI",Z,"2","1",CZE,"2","0",,,HT,K,3,"13461",,,,
NDBI021,Zákaznické preference,Customer preferences,"2020","2020","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"12236",,,,
NDBI021,Uživatelské preference,User preferences,"2021","2021","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"30014",,,,
NDBI021,Uživatelské preference,User preferences,"2022","2022","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"30014",,,,
NDBI021,Uživatelské preference a pokročilé metody doporučování,User preferences and advanced recommending methods,"2023","2023","11320","32-KSI",V,"2","1",CZE,"2","1",,,HT,*,4,"30014",,,,
NDBI021,Uživatelské preference a pokročilé metody doporučování,User preferences and advanced recommending methods,"2024","9999","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"30014",,,,
NDBI023,Dobývání znalostí,Data Mining,"2020","9999","11320","32-KTIML",V,"2","1",ENG,"2","2",,,HT,*,5,"11328","11369",,,
NDBI025,Databázové systémy,Database Systems,"2020","2021","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"12471",,,,
NDBI025,Databázové systémy,Database Systems,"2022","9999","11320","32-KSI",V,"1","1",CZE,"2","2",,,HT,*,5,"13461",,,,
NDBI034,Vyhledávání multimediálního obsahu na webu,Multimedia Retrieval,"2016","2020","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"10885",,,,
NDBI034,Vyhledávání multimediálního obsahu na webu,Multimedia Retrieval,"2021","9999","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"10885",,,,
NDBI035,Text Mining,Text Mining,"2015","9999","11320","32-KSI",Z,"2","1",CZE,"2","0",,,HT,K,3,"21585",,,,
NDBI037,Informační modely s uspořádáním,Information Models with Ordering ,"2020","2020","11320","32-KSI",V,"1","1",CZE,"2","1",,,HT,*,4,"12236",,,,
